,2020-03-01,2020-03-08,2020-03-15,2020-03-22,2020-03-29,2020-04-05,2020-04-12,2020-04-19,2020-04-26,2020-05-03,2020-05-10,2020-05-17,2020-05-24,2020-05-31,2020-06-07,2020-06-14,2020-06-21,2020-06-28,2020-07-05,2020-07-12,2020-07-19,2020-07-26,2020-08-02,2020-08-09,2020-08-16,2020-08-23,2020-08-30,2020-09-06,2020-09-13,2020-09-20,2020-09-27,2020-10-04,2020-10-11,2020-10-18,2020-10-25,2020-11-01,2020-11-08,2020-11-15,2020-11-22,2020-11-29,2020-12-06,2020-12-13,2020-12-20,2020-12-27,2021-01-03,2021-01-10,2021-01-17,2021-01-24,2021-01-31,2021-02-07,2021-02-14,2021-02-21
0,0.0,0.0,0.0,13.5,0.0,0.0,8.25,0.0,3.75,21.5,20.5,28.75,24.25,7.0,50.25,31.5,87.5,57.25,34.75,55.5,60.25,41.25,48.0,20.75,23.75,54.75,38.25,0.0,39.75,30.75,33.5,7.0,15.75,24.25,9.75,19.75,3.75,17.25,5.25,13.5,4.0,0.0,8.25,49.75,52.0,20.0,30.0,31.75,23.5,10.0,13.5,
1,0.0,0.0,11.75,0.0,12.25,0.0,0.0,9.5,16.0,35.0,10.0,13.75,3.5,31.0,37.75,54.25,89.0,24.75,65.5,74.75,65.25,62.25,54.75,45.0,32.25,54.5,21.5,11.0,25.75,22.0,23.25,0.0,15.5,17.75,13.25,16.25,0.0,0.0,15.25,0.0,7.0,36.5,21.5,26.25,17.5,43.0,25.75,49.25,21.5,16.5,8.75,
2,0.0,0.0,8.0,4.25,0.0,0.0,4.0,0.0,0.0,34.0,10.75,13.75,7.75,11.0,29.0,31.75,74.5,85.25,31.5,46.0,44.75,60.25,39.25,34.5,28.0,55.75,47.75,11.5,39.0,8.0,7.75,22.75,15.5,14.0,11.25,25.5,4.5,4.5,12.5,26.5,0.0,0.0,28.5,23.0,68.0,11.75,34.5,16.25,22.5,13.25,21.75,
3,0.0,0.0,4.5,17.75,0.0,0.0,3.0,0.0,7.75,16.75,13.0,29.75,10.25,5.75,32.5,29.75,42.25,55.25,26.25,36.75,45.25,60.5,29.25,33.0,3.0,73.5,49.0,21.25,36.5,15.5,21.25,16.75,7.75,20.25,11.0,22.5,2.75,4.0,12.0,14.25,7.25,0.0,22.25,31.5,46.25,8.0,28.75,13.5,24.0,17.0,21.5,
4,0.0,0.0,0.0,0.0,0.0,0.0,14.5,0.0,15.0,50.0,25.5,13.75,8.5,4.75,56.0,58.5,84.5,80.5,55.25,40.5,57.75,55.25,49.5,23.0,46.0,70.75,65.5,8.25,36.25,10.75,31.25,18.0,14.0,30.25,4.75,23.0,10.0,12.0,10.25,0.0,11.5,0.0,19.25,35.75,57.25,38.0,44.25,15.75,31.75,49.75,13.75,
5,0.0,0.0,0.0,17.25,0.0,0.0,4.75,0.0,4.5,12.5,27.0,23.75,12.5,0.0,51.25,33.5,70.5,77.25,46.75,61.5,39.0,48.25,36.0,22.25,25.25,60.0,29.0,7.75,22.5,12.25,16.0,17.25,7.75,16.25,4.5,18.25,0.0,0.0,8.25,13.0,4.0,0.0,36.0,15.0,48.5,8.5,23.75,22.0,16.25,25.0,12.0,
6,0.0,0.0,8.25,8.25,23.25,0.0,4.0,0.0,11.25,40.0,4.25,13.0,8.0,32.75,44.25,60.0,78.0,43.5,69.25,46.75,50.25,73.0,61.5,41.0,59.0,59.5,39.5,28.0,29.0,26.5,15.75,0.0,33.75,16.0,8.75,16.25,4.25,11.0,8.25,8.25,18.5,12.5,21.25,28.0,25.5,48.25,37.75,33.25,20.5,28.0,15.5,
7,0.0,0.0,13.0,0.0,12.5,0.0,13.0,12.25,9.25,17.0,4.0,12.25,7.0,46.25,35.75,51.75,87.5,42.5,61.25,55.0,67.0,64.0,79.25,31.25,54.0,52.25,12.0,35.0,8.25,21.25,16.5,11.75,34.75,30.25,34.0,17.75,12.25,4.25,4.75,0.0,24.75,14.25,28.0,46.75,8.0,65.25,10.0,46.25,34.5,38.0,11.5,
8,0.0,0.0,8.75,0.0,10.0,0.0,4.5,8.25,16.0,15.0,13.25,9.25,4.0,38.25,33.75,38.25,74.5,25.0,61.5,67.25,62.0,55.5,71.0,61.75,28.0,49.75,17.0,31.75,22.75,9.5,28.25,0.0,24.5,9.25,22.5,6.5,19.0,4.0,4.5,0.0,4.5,15.25,10.5,30.75,10.25,29.25,8.5,30.25,17.5,9.5,25.25,
9,0.0,0.0,7.5,12.25,6.75,0.0,4.75,9.5,8.25,31.25,17.0,9.5,3.25,25.0,46.75,34.5,76.5,37.25,59.0,50.5,60.25,68.75,54.5,41.0,29.25,56.75,50.5,13.25,27.5,19.0,19.5,0.0,14.0,15.75,5.5,15.75,7.25,2.75,16.25,7.75,16.75,2.75,17.0,19.25,39.25,46.25,22.5,31.0,12.0,27.0,7.5,
10,0.0,0.0,4.0,4.25,0.0,0.0,0.0,0.0,13.0,14.75,33.25,12.5,12.5,21.75,56.25,69.0,83.0,54.75,44.0,71.5,52.75,47.75,95.0,35.0,38.25,60.5,36.0,3.5,41.0,16.5,26.0,0.0,8.0,24.0,7.75,4.0,20.75,3.75,4.5,0.0,15.25,4.0,25.75,19.5,57.0,20.25,48.5,12.5,33.25,21.0,28.75,
11,0.0,0.0,16.5,12.0,19.0,0.0,12.5,7.5,12.25,19.75,12.5,15.25,11.0,18.0,24.0,37.5,99.5,56.0,45.75,55.75,66.75,56.75,76.5,52.0,19.5,40.5,51.75,16.75,22.75,18.75,27.25,12.0,20.25,11.25,4.5,30.75,13.25,4.5,17.0,0.0,4.5,4.75,5.25,38.5,40.75,51.0,63.25,34.5,38.0,21.5,13.0,
12,0.0,0.0,12.25,11.25,36.25,0.0,21.0,11.5,11.25,7.0,0.0,15.0,19.5,28.25,11.0,32.25,62.75,37.25,37.25,59.5,65.5,55.75,71.5,50.5,7.0,31.0,59.75,12.0,10.0,22.75,22.75,17.0,19.25,10.5,3.75,20.5,0.0,3.75,8.0,4.75,0.0,0.0,4.25,33.75,36.25,67.75,57.25,21.0,31.75,29.0,8.0,
13,0.0,0.0,0.0,4.75,0.0,0.0,5.0,0.0,13.25,21.0,26.25,29.0,12.25,4.0,16.25,21.0,51.75,67.75,58.0,39.75,25.25,80.5,69.75,37.75,19.75,80.0,45.0,21.75,45.5,22.75,48.25,28.0,13.5,24.75,4.75,38.25,4.5,0.0,24.5,17.75,10.0,0.0,11.75,42.0,45.75,28.0,48.25,9.75,4.5,34.0,4.5,
14,0.0,0.0,8.0,0.0,4.5,0.0,4.75,11.0,14.5,19.5,9.25,6.0,9.25,43.25,38.5,52.75,87.5,17.25,61.5,43.5,38.5,38.0,70.25,35.5,23.0,41.5,29.5,20.75,13.25,14.25,17.25,0.0,14.5,3.25,25.5,23.75,8.0,8.0,0.0,0.0,11.5,23.25,17.75,50.5,20.75,25.0,22.5,25.0,20.0,19.25,12.0,18.75
15,0.0,0.0,8.75,11.5,4.5,0.0,4.75,4.5,4.75,26.0,11.0,3.5,0.0,22.0,10.75,60.75,57.25,65.75,54.0,56.5,84.5,41.25,44.5,28.75,11.5,38.5,33.0,7.5,35.75,19.75,11.75,4.0,15.5,28.75,9.0,9.75,15.75,16.0,8.0,15.0,4.5,9.25,23.75,42.75,34.5,16.5,34.75,20.75,22.5,10.25,11.25,27.25
16,0.0,0.0,8.0,7.5,0.0,0.0,0.0,0.0,7.25,21.75,19.25,0.0,7.25,25.5,17.25,46.0,71.25,68.5,53.0,49.0,68.25,39.25,43.25,37.25,6.75,47.5,38.75,20.75,36.25,19.25,22.25,4.5,15.0,24.75,3.5,0.0,11.0,15.25,16.75,7.5,4.5,7.0,19.5,30.5,34.5,23.75,17.0,23.5,22.0,9.0,7.5,26.5
17,,0.0,8.0,0.0,4.5,0.0,4.75,16.5,20.5,21.75,6.25,11.25,10.25,42.25,31.75,60.25,82.5,22.75,62.75,59.0,48.5,47.75,73.0,37.75,17.0,48.5,39.25,27.25,10.25,19.5,22.5,0.0,15.75,7.25,19.0,26.0,8.0,12.5,0.0,0.0,12.5,28.5,19.0,44.5,18.75,27.25,29.75,22.75,26.25,17.75,10.0,23.25
18,,0.0,9.25,12.0,43.5,0.0,17.75,12.5,4.25,0.0,0.0,7.0,4.25,45.75,21.5,28.25,47.5,46.5,45.75,97.75,52.75,57.5,65.25,53.0,54.25,36.0,54.5,23.0,4.75,3.5,17.0,23.25,22.75,13.0,10.25,19.75,0.0,8.0,0.0,6.75,0.0,0.0,0.0,11.75,33.5,64.25,39.5,19.25,26.0,20.0,22.25,22.0
19,,0.0,4.5,4.0,3.75,0.0,8.5,9.0,12.0,13.25,11.0,6.0,8.25,17.25,35.25,52.75,94.25,52.75,29.25,42.75,30.75,63.5,44.5,38.5,22.5,50.25,33.0,10.0,29.75,3.75,26.0,6.75,17.75,7.75,5.5,6.75,2.75,12.25,4.0,4.25,15.0,6.5,17.25,33.5,36.25,22.5,10.25,26.0,19.5,21.5,17.75,35.75
20,,0.0,5.75,18.75,0.0,0.0,5.5,0.0,4.75,37.0,38.75,23.5,17.75,12.5,57.25,41.75,82.5,66.0,39.75,45.5,50.0,51.25,52.75,27.0,9.0,73.5,48.25,22.5,30.75,7.0,24.5,10.0,23.0,32.75,0.0,9.5,4.75,0.0,22.75,14.0,10.0,0.0,21.0,44.0,67.0,34.25,33.75,35.0,30.75,15.75,23.0,45.5
21,,0.0,3.5,10.0,4.25,0.0,15.0,3.5,8.25,37.25,31.0,17.25,17.0,4.75,48.5,22.25,71.25,58.0,63.25,68.5,70.5,58.75,50.25,22.75,7.5,65.0,51.25,29.0,29.75,3.25,17.25,10.0,16.5,21.5,7.0,8.5,8.0,7.75,14.75,14.75,0.0,10.75,5.75,46.5,40.25,45.5,30.75,33.25,26.5,20.25,23.75,39.5
22,,0.0,3.5,0.0,12.5,0.0,3.5,10.25,14.25,20.75,0.0,17.5,3.0,44.5,29.25,42.5,85.75,13.0,55.75,62.75,62.75,63.25,47.75,41.5,44.0,57.0,23.75,31.25,26.25,20.75,17.5,4.25,32.75,12.5,13.0,3.25,10.5,9.75,3.25,0.0,14.0,28.25,28.75,24.5,7.75,37.0,13.25,48.5,18.5,20.5,17.25,23.25
23,,0.0,16.25,0.0,10.5,0.0,8.0,18.75,20.0,26.0,10.5,21.25,4.25,36.75,37.5,28.75,68.0,27.75,43.75,47.25,41.75,81.75,79.5,37.0,37.25,65.5,13.25,14.5,20.0,21.0,23.0,6.0,16.25,4.0,10.5,4.25,14.5,0.0,0.0,0.0,3.0,17.0,11.75,41.75,15.75,36.75,28.25,38.75,10.0,31.0,17.5,39.0
24,,0.0,4.0,7.5,0.0,0.0,8.75,0.0,4.25,7.25,31.5,18.75,16.25,3.75,30.0,41.25,65.25,54.75,47.25,39.25,54.75,55.25,57.5,29.5,11.0,73.0,42.75,12.0,27.75,16.25,24.25,24.75,7.5,26.5,3.75,13.0,8.25,12.5,4.5,8.25,0.0,0.0,20.0,19.5,65.25,0.0,35.0,18.0,20.5,20.5,12.5,24.25
25,,0.0,8.0,4.25,12.75,0.0,17.75,0.0,13.75,20.0,13.25,27.25,4.0,24.75,15.0,42.0,48.5,45.0,71.0,41.5,31.0,75.0,77.5,42.0,27.25,59.5,41.0,7.75,23.5,18.75,29.75,13.5,28.0,13.0,13.5,27.75,16.0,7.75,4.25,4.0,9.0,12.0,31.0,16.75,44.75,31.0,26.5,38.75,19.25,13.25,21.75,44.5
26,,0.0,4.75,0.0,15.5,0.0,6.75,3.5,19.0,12.75,0.0,18.75,6.0,40.75,25.75,41.75,69.25,23.0,66.5,33.25,31.75,82.0,61.0,59.25,35.0,64.25,10.5,18.5,26.25,16.75,29.0,2.5,30.0,6.5,15.5,15.0,14.25,18.75,14.25,0.0,8.25,31.0,33.75,33.75,6.0,51.5,18.25,55.75,17.0,18.25,17.75,26.5
27,,0.0,3.5,12.0,0.0,0.0,0.0,0.0,12.25,14.75,28.0,11.5,4.0,3.25,42.25,44.25,50.0,97.5,15.5,59.25,61.75,45.5,58.0,50.5,11.0,60.0,33.0,11.5,30.25,20.0,33.5,25.75,8.5,26.25,5.25,22.75,9.25,7.25,9.75,3.25,17.75,0.0,44.25,33.75,39.75,9.75,40.25,39.0,14.5,31.75,3.25,43.75
