,2020-03-01,2020-03-08,2020-03-15,2020-03-22,2020-03-29,2020-04-05,2020-04-12,2020-04-19,2020-04-26,2020-05-03,2020-05-10,2020-05-17,2020-05-24,2020-05-31,2020-06-07,2020-06-14,2020-06-21,2020-06-28,2020-07-05,2020-07-12,2020-07-19,2020-07-26,2020-08-02,2020-08-09,2020-08-16,2020-08-23,2020-08-30,2020-09-06,2020-09-13,2020-09-20,2020-09-27,2020-10-04,2020-10-11,2020-10-18,2020-10-25,2020-11-01,2020-11-08,2020-11-15,2020-11-22,2020-11-29,2020-12-06,2020-12-13,2020-12-20,2020-12-27,2021-01-03,2021-01-10,2021-01-17,2021-01-24,2021-01-31,2021-02-07,2021-02-14,2021-02-21,2021-02-28,2021-03-07,2021-03-14,2021-03-21,2021-03-28,2021-04-04,2021-04-11,2021-04-18,2021-04-25,2021-05-02,2021-05-09,2021-05-16,2021-05-23,2021-05-30
0,0.0,6.75,0.0,3.0,10.75,11.0,0.0,0.0,46.5,53.0,56.0,10.0,8.75,10.75,41.0,53.25,46.5,53.75,25.75,23.75,76.25,47.75,50.75,56.25,27.75,16.75,30.25,6.75,33.25,0.0,17.75,7.75,7.5,5.0,18.0,34.25,5.5,0.0,13.25,4.25,0.0,19.5,0.0,28.25,35.75,66.0,41.0,4.25,20.0,0.0,0.0,,,,,,,,,,,,,,,
1,0.0,0.0,0.0,0.0,8.75,0.0,9.5,12.25,25.75,8.5,43.75,0.0,0.0,12.75,20.0,79.75,31.5,54.25,33.5,62.0,89.25,81.25,37.0,46.25,11.5,50.0,18.5,33.75,9.5,9.25,0.0,20.25,8.5,5.5,0.0,15.75,0.0,5.25,4.0,0.0,0.0,25.0,22.75,58.25,52.25,55.75,63.0,28.75,30.0,7.0,10.75,,,,,,,,,,,,,,,
2,0.0,0.0,0.0,3.5,13.0,7.75,0.0,0.0,37.25,57.0,21.5,21.0,24.75,24.25,37.25,56.0,33.5,60.5,29.0,41.75,50.25,67.75,63.25,39.75,45.25,12.75,12.25,0.0,30.5,0.0,30.0,4.75,10.25,9.0,8.5,16.25,5.25,0.0,3.75,21.75,0.0,16.0,22.5,28.0,35.5,48.75,44.75,10.0,21.0,12.5,12.75,,,,,,,,,,,,,,,
3,0.0,3.5,0.0,6.5,17.25,14.25,0.0,0.0,42.0,75.75,32.0,10.25,12.0,13.5,29.25,46.0,50.0,78.5,11.75,38.25,85.25,66.5,48.5,26.75,40.0,8.25,26.75,3.25,35.75,0.0,21.75,0.0,5.5,7.25,15.0,27.5,3.5,0.0,3.75,7.25,0.0,15.5,0.0,29.75,25.75,82.25,70.75,16.75,28.75,13.25,7.25,,,,,,,,,,,,,,,
4,0.0,0.0,0.0,0.0,16.0,9.0,4.75,22.25,22.25,16.25,37.5,4.25,13.0,16.25,30.0,68.25,24.75,32.0,44.5,80.0,89.75,64.0,50.25,59.5,8.5,48.75,32.75,31.75,4.25,17.25,17.75,13.5,4.75,8.5,4.75,5.0,0.0,0.0,4.75,0.0,0.0,18.75,15.5,51.25,55.5,60.75,34.25,40.0,43.0,4.0,4.5,,,,,,,,,,,,,,,
5,0.0,4.25,0.0,8.5,0.0,13.5,0.0,0.0,44.75,55.0,51.25,13.25,26.5,13.0,17.75,89.5,17.0,73.25,21.0,37.25,61.75,45.0,68.25,54.75,29.75,16.25,12.75,4.0,13.25,0.0,22.25,9.5,4.75,9.0,0.0,15.5,4.75,0.0,5.0,14.5,0.0,15.25,0.0,45.25,36.5,84.5,10.0,18.25,26.75,4.25,8.75,,,,,,,,,,,,,,,
6,0.0,4.25,0.0,4.75,9.25,10.25,0.0,4.5,40.75,41.25,60.75,8.5,14.5,22.75,32.25,73.0,56.0,62.0,50.25,51.75,52.0,54.25,65.75,55.0,19.0,17.5,35.75,12.5,35.75,10.25,33.25,9.25,15.0,10.5,4.75,22.75,10.5,0.0,9.25,10.5,0.0,10.5,20.25,24.25,48.0,41.0,43.75,45.25,18.75,4.25,5.25,,,,,,,,,,,,,,,
7,0.0,0.0,0.0,0.0,8.5,4.25,28.5,9.25,18.0,4.5,17.25,8.5,0.0,8.0,38.25,49.0,46.0,45.5,73.5,81.75,87.75,68.25,13.0,47.25,29.0,36.75,0.0,53.0,8.75,13.5,18.25,13.75,0.0,4.75,0.0,5.0,0.0,0.0,9.0,0.0,0.0,10.0,69.5,41.0,60.75,73.0,26.0,33.5,27.0,4.25,0.0,,,,,,,,,,,,,,,
8,0.0,0.0,0.0,0.0,8.5,0.0,13.5,13.0,3.75,14.25,56.5,0.0,12.25,15.75,28.0,40.5,39.0,30.5,40.5,53.25,89.5,62.25,31.75,11.0,15.75,36.0,27.75,38.25,9.0,4.0,24.75,16.75,4.0,16.75,4.0,18.75,0.0,3.75,7.75,0.0,0.0,36.0,0.0,43.25,59.0,47.0,18.75,52.25,27.25,11.5,0.0,,,,,,,,,,,,,,,
9,0.0,0.0,0.0,4.75,18.75,14.25,0.0,0.0,37.75,54.75,40.0,4.5,13.5,17.5,39.25,81.75,45.5,50.0,46.0,43.75,64.5,78.5,65.25,40.75,27.25,21.5,31.0,0.0,23.25,9.0,24.5,24.0,9.5,4.5,0.0,12.0,4.75,0.0,10.25,4.75,0.0,26.75,17.0,46.0,43.5,60.75,73.25,34.25,32.75,12.5,4.5,,,,,,,,,,,,,,,
