,La Paz,La Paz,La Paz,La Paz,Cochabamba,Cochabamba,Cochabamba,Cochabamba,Santa Cruz,Santa Cruz,Santa Cruz,Santa Cruz,Oruro,Oruro,Oruro,Oruro,Potosi,Potosi,Potosi,Potosi,Tarija,Tarija,Tarija,Tarija,Chuquisaca,Chuquisaca,Chuquisaca,Chuquisaca,Beni,Beni,Beni,Beni,Pando,Pando,Pando,Pando
,Primera,Segunda,Tercera,Unica,Primera,Segunda,Tercera,Unica,Primera,Segunda,Tercera,Unica,Primera,Segunda,Tercera,Unica,Primera,Segunda,Tercera,Unica,Primera,Segunda,Tercera,Unica,Primera,Segunda,Tercera,Unica,Primera,Segunda,Tercera,Unica,Primera,Segunda,Tercera,Unica
2021-02-02,12,0,0,0,278,0,0,0,647,0,0,0,26,0,0,0,138,0,0,0,90,0,0,0,122,0,0,0,6,0,0,0,270,0,0,0
2021-02-03,361,0,0,0,687,0,0,0,1264,0,0,0,106,0,0,0,203,0,0,0,200,0,0,0,303,0,0,0,48,0,0,0,388,0,0,0
2021-02-04,1030,0,0,0,1044,0,0,0,1393,0,0,0,195,0,0,0,293,0,0,0,362,0,0,0,304,0,0,0,63,0,0,0,488,0,0,0
2021-02-05,1783,0,0,0,1369,0,0,0,1638,0,0,0,300,0,0,0,396,0,0,0,711,0,0,0,529,0,0,0,154,0,0,0,550,0,0,0
2021-02-06,1859,0,0,0,1369,0,0,0,1638,0,0,0,412,0,0,0,396,0,0,0,712,0,0,0,530,0,0,0,170,0,0,0,550,0,0,0
2021-02-07,1859,0,0,0,1369,0,0,0,1638,0,0,0,499,0,0,0,396,0,0,0,712,0,0,0,530,0,0,0,199,0,0,0,550,0,0,0
2021-02-08,1938,0,0,0,1525,0,0,0,1879,0,0,0,700,0,0,0,432,0,0,0,783,0,0,0,690,0,0,0,408,0,0,0,550,0,0,0
2021-02-09,1987,0,0,0,1666,0,0,0,2200,0,0,0,715,0,0,0,463,0,0,0,825,0,0,0,776,0,0,0,570,0,0,0,550,0,0,0
2021-02-10,2006,0,0,0,1674,0,0,0,2218,0,0,0,715,0,0,0,816,0,0,0,825,0,0,0,776,0,0,0,587,0,0,0,550,0,0,0
2021-02-11,2006,0,0,0,1674,0,0,0,2218,0,0,0,715,0,0,0,816,0,0,0,825,0,0,0,776,0,0,0,587,0,0,0,550,0,0,0
2021-02-12,2006,0,0,0,1674,0,0,0,2218,0,0,0,715,0,0,0,816,0,0,0,825,0,0,0,776,0,0,0,587,0,0,0,550,0,0,0
2021-02-13,2006,0,0,0,1674,0,0,0,2218,0,0,0,715,0,0,0,816,0,0,0,825,0,0,0,776,0,0,0,587,0,0,0,550,0,0,0
2021-02-14,2006,0,0,0,1674,0,0,0,2218,0,0,0,715,0,0,0,816,0,0,0,825,0,0,0,776,0,0,0,587,0,0,0,550,0,0,0
