,2020-03-01,2020-03-08,2020-03-15,2020-03-22,2020-03-29,2020-04-05,2020-04-12,2020-04-19,2020-04-26,2020-05-03,2020-05-10,2020-05-17,2020-05-24,2020-05-31,2020-06-07,2020-06-14,2020-06-21,2020-06-28,2020-07-05,2020-07-12,2020-07-19,2020-07-26,2020-08-02,2020-08-09,2020-08-16,2020-08-23,2020-08-30,2020-09-06,2020-09-13,2020-09-20,2020-09-27,2020-10-04,2020-10-11,2020-10-18,2020-10-25,2020-11-01,2020-11-08,2020-11-15,2020-11-22,2020-11-29,2020-12-06,2020-12-13,2020-12-20,2020-12-27,2021-01-03,2021-01-10,2021-01-17,2021-01-24,2021-01-31,2021-02-07,2021-02-14,2021-02-21,2021-02-28
0,0.0,8.5,9.25,2.5,20.5,58.25,27.75,3.75,6.75,11.25,14.75,9.0,0.0,4.5,2.75,0.0,0.0,17.75,0.0,0.0,0.0,36.5,37.0,29.75,43.75,41.0,56.5,21.25,96.75,27.25,15.75,29.5,13.25,23.75,42.75,0.0,17.5,5.25,26.0,0.0,21.0,0.0,23.0,9.0,32.75,0.0,3.25,5.0,0.0,19.5,0.0,,
1,0.0,0.0,27.25,46.5,33.25,9.5,30.5,7.5,14.0,0.0,14.75,0.0,9.25,31.25,0.0,0.0,0.0,0.0,0.0,26.5,27.0,51.0,40.75,6.25,11.75,40.5,82.25,28.75,82.75,58.0,39.0,31.75,52.0,5.75,39.75,5.5,0.0,5.5,0.0,0.0,0.0,0.0,12.25,25.0,43.75,5.5,16.25,0.0,10.0,10.0,0.0,,
2,0.0,3.25,13.25,7.75,11.0,33.5,49.5,24.0,3.5,6.25,15.5,11.5,0.0,3.5,3.25,0.0,0.0,16.75,4.25,0.0,0.0,40.25,24.0,10.75,61.75,51.75,60.25,31.25,87.75,20.5,22.75,33.25,9.25,19.0,18.25,0.0,16.75,9.5,17.0,0.0,14.25,0.0,0.0,20.0,31.75,0.0,0.0,10.0,0.0,18.0,0.0,,
3,0.0,0.0,4.0,0.0,8.75,30.25,32.5,15.75,6.5,7.0,14.0,3.0,0.0,3.0,14.75,0.0,0.0,11.75,4.25,0.0,0.0,62.25,33.25,14.25,55.75,39.25,76.0,39.5,90.25,27.25,13.25,40.25,11.75,8.75,38.25,0.0,15.0,4.25,7.0,0.0,15.75,0.0,24.25,5.0,21.25,0.0,8.25,7.5,0.0,16.75,8.25,,
4,0.0,0.0,7.5,13.5,13.0,17.0,48.25,16.5,0.0,10.5,7.5,10.75,0.0,3.5,3.75,0.0,0.0,0.0,4.25,4.5,4.75,36.75,18.5,27.5,51.5,56.75,66.0,76.75,100.0,23.75,23.0,27.25,8.75,4.25,40.25,4.0,12.5,4.25,16.25,0.0,13.25,0.0,5.25,25.75,31.75,0.0,8.75,4.25,4.25,17.75,4.75,,
5,0.0,4.5,9.75,0.0,21.75,42.5,59.0,17.5,4.25,18.25,0.0,9.5,0.0,9.0,10.0,0.0,0.0,11.0,11.25,0.0,0.0,30.0,53.25,23.75,72.5,79.0,86.0,56.0,90.0,11.75,35.0,54.75,17.0,10.5,41.5,0.0,32.5,0.0,16.0,0.0,11.5,0.0,33.75,27.5,41.0,0.0,5.5,0.0,0.0,29.0,5.75,,
6,0.0,4.5,10.0,17.5,6.0,0.0,33.5,7.0,12.25,10.5,8.25,0.0,0.0,18.5,0.0,0.0,0.0,10.5,0.0,8.25,24.25,54.0,19.75,11.75,28.0,38.5,45.0,43.25,93.0,60.5,27.5,11.5,16.75,27.25,34.5,0.0,3.75,0.0,5.25,0.0,0.0,0.0,9.0,37.25,17.0,0.0,4.0,5.75,7.5,11.5,0.0,,
7,0.0,0.0,25.25,14.25,9.75,10.5,11.5,14.25,16.0,0.0,14.25,0.0,0.0,15.25,0.0,0.0,0.0,0.0,0.0,35.5,19.5,26.75,67.75,11.75,21.5,41.5,51.0,32.75,67.5,52.5,32.75,17.5,39.25,5.25,19.5,3.5,5.25,5.0,0.0,0.0,0.0,0.0,9.0,13.25,26.75,17.25,29.0,0.0,15.5,5.5,0.0,,
8,0.0,11.0,25.75,0.0,14.25,60.0,38.5,18.75,15.0,10.5,11.5,25.25,0.0,4.75,16.0,0.0,0.0,28.75,0.0,0.0,0.0,43.5,43.25,35.5,52.75,53.0,36.25,65.75,94.5,56.25,33.25,31.5,11.0,7.5,31.0,0.0,10.5,0.0,17.5,0.0,15.0,0.0,15.75,15.25,43.25,0.0,25.25,13.5,0.0,22.5,0.0,,
9,0.0,0.0,3.75,17.75,0.0,25.25,45.5,20.5,5.75,12.0,0.0,12.5,0.0,14.25,9.5,0.0,0.0,20.5,10.5,8.5,14.0,77.5,40.5,15.75,25.5,29.5,64.0,38.5,80.25,52.5,19.0,35.5,22.5,22.75,21.0,3.25,3.5,3.5,10.5,0.0,11.0,0.0,24.5,30.25,20.0,3.75,3.75,0.0,3.75,0.0,11.5,,
10,,4.5,14.25,7.75,10.75,43.25,25.25,25.75,3.0,17.5,8.5,11.5,0.0,0.0,0.0,0.0,0.0,11.75,8.75,0.0,0.0,39.25,21.75,13.0,40.0,33.0,45.25,52.75,100.0,22.25,14.5,15.75,10.25,20.5,45.75,0.0,19.75,3.75,18.5,0.0,4.5,0.0,23.75,9.75,24.5,0.0,4.5,8.75,0.0,13.0,7.5,0.0,
11,,0.0,27.25,24.5,7.5,4.0,34.75,7.25,11.5,4.0,8.25,4.0,10.75,18.75,0.0,0.0,0.0,0.0,0.0,24.0,29.0,88.0,67.25,4.75,10.25,50.25,51.25,46.75,84.5,56.25,14.0,13.25,56.0,18.75,26.0,16.5,4.0,9.25,0.0,0.0,0.0,0.0,17.25,20.75,38.25,14.75,19.5,0.0,4.5,18.5,0.0,0.0,
12,,0.0,34.75,36.75,19.0,22.75,36.5,7.5,11.5,7.25,4.25,6.5,4.75,16.0,3.75,0.0,0.0,6.25,0.0,10.0,10.25,48.75,23.5,8.5,26.25,33.75,58.5,57.75,74.0,59.5,25.25,22.5,28.0,17.75,31.25,0.0,18.75,14.25,7.0,0.0,3.25,0.0,22.0,24.5,33.5,6.0,17.5,0.0,5.75,13.5,3.5,0.0,
13,,8.0,22.75,30.25,20.5,8.25,38.0,33.5,18.5,11.25,8.0,8.5,14.25,6.5,0.0,0.0,0.0,0.0,12.25,32.75,33.25,36.5,58.25,17.25,33.75,33.25,43.25,46.75,53.25,43.0,35.0,33.0,27.25,24.5,15.0,9.75,10.5,20.75,0.0,11.5,0.0,0.0,23.75,21.5,21.25,11.0,25.25,0.0,4.5,0.0,0.0,18.5,
14,,0.0,17.75,25.25,21.75,6.75,44.5,5.75,4.5,6.25,15.25,4.5,8.5,14.25,0.0,0.0,0.0,0.0,0.0,45.75,20.0,41.75,31.25,3.25,5.75,16.5,42.5,18.0,70.75,49.25,19.75,11.5,20.25,4.5,33.25,12.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,9.75,18.0,0.0,10.5,0.0,11.0,5.5,0.0,3.0,
15,,11.5,8.0,7.0,22.0,33.0,37.75,16.75,7.5,15.25,17.0,12.0,0.0,0.0,13.0,0.0,0.0,18.5,0.0,0.0,0.0,65.5,28.0,38.25,54.5,54.5,58.0,61.5,96.25,25.5,20.5,42.75,19.25,9.0,52.5,0.0,35.0,10.0,19.25,0.0,9.0,0.0,23.5,12.25,17.0,0.0,16.25,3.75,0.0,23.5,0.0,0.0,
16,,0.0,29.25,25.5,31.0,26.0,48.25,20.75,16.5,13.75,18.25,13.75,5.0,16.75,4.75,0.0,0.0,11.0,5.5,27.25,29.25,53.75,31.0,10.75,47.25,53.75,71.75,50.25,90.75,34.0,33.75,30.0,56.0,19.5,43.75,18.75,4.0,15.75,13.75,0.0,4.25,0.0,19.0,29.25,35.0,7.5,31.5,0.0,7.25,4.5,4.5,0.0,
17,,8.75,39.0,36.0,24.25,10.0,62.75,64.25,25.75,20.0,4.0,9.0,13.0,33.75,12.75,0.0,0.0,0.0,27.25,10.75,33.25,59.5,22.25,15.75,37.5,64.5,78.0,62.25,69.0,16.75,38.75,16.5,40.75,10.0,14.5,0.0,8.75,20.25,8.5,19.75,0.0,16.5,18.0,10.25,0.0,16.5,0.0,0.0,6.0,10.5,0.0,5.5,0.0
18,,0.0,43.75,44.5,32.0,9.25,33.0,11.75,9.5,11.75,17.25,9.5,3.5,33.0,0.0,0.0,0.0,0.0,0.0,24.75,34.5,43.5,26.25,16.5,4.75,40.75,51.0,44.75,81.5,47.25,29.75,33.0,49.25,23.0,24.5,13.75,10.75,4.25,0.0,0.0,0.0,0.0,19.25,41.75,28.75,10.25,15.0,0.0,25.0,4.5,0.0,11.0,33.5
19,,,13.0,0.0,23.75,34.25,56.0,34.5,13.0,21.0,13.0,20.5,0.0,0.0,8.0,0.0,0.0,23.25,14.75,0.0,0.0,51.25,20.5,27.75,65.5,49.75,72.75,61.75,67.75,27.5,10.75,53.25,19.75,19.0,31.5,0.0,42.25,10.0,27.5,0.0,20.5,0.0,30.25,6.5,30.25,0.0,10.5,4.75,0.0,36.25,10.5,0.0,10.25
20,,,8.25,3.5,19.0,11.5,41.75,14.25,8.0,8.0,6.25,6.25,0.0,4.25,13.25,0.0,0.0,10.25,9.5,0.0,0.0,22.75,29.25,13.75,56.25,50.75,44.75,56.25,76.0,16.5,15.25,23.5,5.25,16.75,54.0,0.0,20.5,0.0,30.5,0.0,10.0,0.0,10.25,21.5,14.25,0.0,13.0,5.75,0.0,27.5,0.0,0.0,16.0
21,,,35.25,40.75,43.25,31.25,44.25,24.0,26.0,9.0,9.75,13.0,9.5,23.25,4.75,0.0,0.0,0.0,6.0,6.0,45.75,66.25,35.75,33.25,40.25,63.25,62.75,88.0,42.75,53.0,35.5,34.25,14.25,27.25,14.75,0.0,14.75,16.25,0.0,21.25,0.0,48.0,12.5,25.0,0.0,5.75,11.25,0.0,6.0,5.5,0.0,11.25,0.0
