,2020-03-01,2020-03-08,2020-03-15,2020-03-22,2020-03-29,2020-04-05,2020-04-12,2020-04-19,2020-04-26,2020-05-03,2020-05-10,2020-05-17,2020-05-24,2020-05-31,2020-06-07,2020-06-14,2020-06-21,2020-06-28,2020-07-05,2020-07-12,2020-07-19,2020-07-26,2020-08-02,2020-08-09,2020-08-16,2020-08-23,2020-08-30,2020-09-06,2020-09-13,2020-09-20,2020-09-27,2020-10-04,2020-10-11,2020-10-18,2020-10-25,2020-11-01,2020-11-08,2020-11-15,2020-11-22,2020-11-29,2020-12-06,2020-12-13,2020-12-20,2020-12-27,2021-01-03,2021-01-10,2021-01-17,2021-01-24,2021-01-31,2021-02-07,2021-02-14
0,0.0,0.0,13.75,6.75,33.5,25.75,33.75,20.0,8.0,5.0,11.0,7.25,15.25,13.75,8.75,3.75,8.25,9.25,41.25,96.5,32.25,60.25,35.5,21.75,66.25,37.5,33.25,0.0,6.25,33.0,5.25,0.0,8.5,8.0,16.5,25.5,4.0,6.5,4.25,4.75,5.0,6.0,0.0,12.5,14.5,0.0,10.5,0.0,18.5,24.25,0.0
1,0.0,8.0,24.5,19.75,34.75,24.0,30.75,37.25,22.25,14.25,22.25,21.75,14.0,0.0,4.75,18.25,23.75,18.0,42.0,61.75,72.75,65.0,55.5,79.25,47.25,26.5,34.25,47.5,30.0,3.25,15.75,35.75,12.5,12.0,7.25,11.75,3.0,8.5,3.25,3.25,0.0,3.25,0.0,8.75,13.75,0.0,0.0,9.75,3.5,9.75,7.5
2,0.0,0.0,32.0,23.5,38.0,25.0,39.25,16.5,14.5,7.0,5.75,15.5,16.0,23.75,12.75,10.5,4.5,12.75,42.75,88.5,46.25,59.0,52.25,25.75,74.75,36.75,38.0,2.75,28.0,30.5,6.5,12.5,13.0,17.0,17.5,18.5,5.75,11.5,5.75,0.0,1.25,0.0,0.0,8.25,19.5,4.0,10.5,0.0,12.75,13.75,3.25
3,0.0,0.0,27.75,20.5,39.75,29.0,39.0,18.5,11.25,8.0,2.25,20.75,10.0,18.75,9.0,11.5,14.5,7.5,44.5,94.25,22.25,51.25,44.75,11.5,73.5,46.75,26.0,2.75,21.25,36.25,5.75,5.25,4.5,9.0,14.5,24.75,4.25,12.75,3.75,0.0,5.5,3.0,0.0,23.0,14.75,0.0,8.0,0.0,9.75,20.0,2.75
4,0.0,3.5,18.75,17.75,25.0,22.0,59.75,24.25,15.5,12.5,9.75,13.75,15.75,12.75,14.75,11.75,8.5,11.75,61.25,83.0,31.75,79.0,70.0,36.5,62.0,39.5,38.0,11.75,18.75,17.0,12.0,21.5,11.0,14.25,20.25,18.5,3.75,14.5,2.25,0.0,7.25,6.75,0.0,17.0,17.75,6.75,2.5,8.0,9.5,16.0,5.0
5,0.0,0.0,30.75,12.0,35.0,18.0,30.5,19.5,14.0,9.5,2.75,14.0,10.5,12.0,19.0,3.0,4.5,18.5,35.75,94.25,39.5,83.25,56.0,8.5,67.25,45.0,24.5,0.0,26.5,29.5,7.5,9.75,6.0,14.0,21.5,19.5,0.0,14.75,7.5,5.75,5.5,2.0,0.0,16.5,31.0,1.75,1.75,0.0,15.25,11.5,7.25
6,0.0,0.0,21.75,9.75,28.0,35.25,23.0,28.25,16.0,3.0,4.75,12.75,20.5,19.75,8.25,5.75,5.0,12.5,49.25,76.5,26.75,74.75,52.0,16.0,69.5,26.75,13.75,0.0,23.25,33.25,0.0,11.5,9.0,12.25,18.5,8.25,1.75,4.75,5.25,0.0,7.5,3.5,0.0,9.75,31.5,4.5,10.75,0.0,20.5,12.75,0.0
7,0.0,0.0,34.25,18.75,27.5,20.5,43.5,51.0,13.25,22.0,33.75,22.25,20.25,5.0,20.0,14.5,43.0,53.0,54.25,84.25,64.5,68.25,74.5,48.5,23.75,44.0,63.0,19.75,16.25,12.5,41.5,36.5,9.0,17.0,8.0,10.75,0.0,16.5,5.5,3.0,0.0,6.25,0.0,18.5,32.5,0.0,5.75,20.75,3.0,14.75,6.5
8,2.0,0.0,20.25,10.5,34.0,26.75,40.25,25.25,11.25,15.75,21.75,16.75,14.5,18.0,13.0,8.5,9.0,26.25,45.25,91.5,35.0,58.5,47.25,60.75,62.0,36.75,33.0,17.75,16.25,32.25,9.75,9.25,19.25,23.25,11.75,12.75,0.0,3.0,5.25,0.0,4.25,2.25,0.0,16.25,27.0,13.5,9.0,0.0,14.5,10.5,5.75
9,0.0,4.5,21.75,16.75,16.75,24.25,33.25,22.75,20.0,14.5,22.0,14.0,10.25,11.5,12.0,6.5,13.0,18.0,51.0,58.75,61.25,70.0,73.25,22.75,57.25,24.5,30.0,11.25,9.5,26.0,13.0,11.25,12.25,7.5,13.5,9.25,2.5,12.25,2.0,2.0,5.5,3.0,0.0,10.5,19.25,8.75,7.75,2.75,22.25,13.0,10.25
10,0.0,0.0,46.25,13.5,38.0,24.25,51.0,29.0,15.0,4.0,16.0,8.25,21.25,17.0,16.75,14.25,11.5,19.5,48.25,78.25,62.75,63.25,53.5,38.75,42.75,23.0,29.75,16.75,18.25,5.75,13.0,23.5,19.75,11.75,7.0,12.75,0.0,11.5,2.25,0.0,0.0,5.0,0.0,18.0,7.75,5.25,0.0,10.25,24.25,5.25,7.75
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
