,2020-03-01,2020-03-08,2020-03-15,2020-03-22,2020-03-29,2020-04-05,2020-04-12,2020-04-19,2020-04-26,2020-05-03,2020-05-10,2020-05-17,2020-05-24,2020-05-31,2020-06-07,2020-06-14,2020-06-21,2020-06-28,2020-07-05,2020-07-12,2020-07-19,2020-07-26,2020-08-02,2020-08-09,2020-08-16,2020-08-23,2020-08-30,2020-09-06,2020-09-13,2020-09-20,2020-09-27,2020-10-04,2020-10-11,2020-10-18,2020-10-25,2020-11-01,2020-11-08,2020-11-15,2020-11-22,2020-11-29,2020-12-06,2020-12-13,2020-12-20,2020-12-27,2021-01-03,2021-01-10,2021-01-17,2021-01-24,2021-01-31,2021-02-07,2021-02-14,2021-02-21
0,0.0,0.0,49.75,0.0,12.25,0.0,12.5,26.75,12.25,0.0,0.0,34.75,0.0,0.0,12.0,13.25,37.5,0.0,0.0,23.25,24.75,23.0,13.75,23.5,24.75,0.0,0.0,37.5,28.25,13.25,25.0,13.25,0.0,0.0,0.0,0.0,0.0,32.25,11.0,11.25,0.0,12.5,28.75,0.0,0.0,0.0,0.0,46.0,69.25,0.0,0.0,
1,0.0,9.75,33.0,50.0,10.75,0.0,61.0,24.0,11.25,10.0,21.0,0.0,22.0,0.0,10.5,0.0,0.0,21.25,0.0,11.5,0.0,55.25,22.5,22.25,34.75,23.25,58.75,35.0,24.75,75.0,22.25,22.25,0.0,0.0,40.0,0.0,0.0,37.75,0.0,0.0,0.0,0.0,0.0,26.25,11.5,0.0,31.75,0.0,10.25,0.0,0.0,
2,0.0,0.0,6.0,0.0,0.0,0.0,22.75,86.25,22.75,0.0,0.0,15.5,0.0,0.0,32.25,0.0,22.75,0.0,0.0,31.75,29.25,5.75,29.25,28.25,17.0,0.0,0.0,54.0,55.0,31.25,22.25,60.5,0.0,0.0,0.0,0.0,0.0,5.25,20.0,36.25,0.0,27.5,50.0,0.0,0.0,0.0,0.0,27.0,47.75,0.0,0.0,
3,0.0,0.0,28.75,0.0,12.0,0.0,6.0,74.25,12.75,0.0,0.0,16.75,0.0,12.0,22.5,24.0,0.0,0.0,0.0,40.75,11.25,0.0,0.0,17.0,11.25,0.0,0.0,18.25,19.0,50.0,22.5,38.5,0.0,0.0,0.0,0.0,0.0,14.75,20.0,21.25,0.0,32.5,26.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,
4,0.0,0.0,24.5,0.0,18.25,0.0,11.5,85.5,8.0,0.0,0.0,12.5,0.0,5.25,16.25,5.75,17.5,0.0,0.0,33.25,11.25,19.0,0.0,37.5,13.75,11.75,11.5,33.75,54.5,72.25,20.0,37.75,0.0,0.0,0.0,0.0,0.0,19.5,0.0,10.75,0.0,16.75,40.0,0.0,0.0,0.0,10.5,7.25,23.25,0.0,0.0,
5,0.0,0.0,32.0,0.0,25.0,0.0,48.0,75.5,13.0,0.0,0.0,22.25,0.0,0.0,31.5,20.75,34.75,0.0,0.0,59.5,0.0,35.75,13.5,36.75,0.0,0.0,0.0,13.25,75.5,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,11.25,32.75,0.0,58.25,79.75,0.0,0.0,0.0,0.0,22.5,33.75,0.0,0.0,
6,0.0,10.25,50.25,17.0,21.25,0.0,57.0,53.25,34.75,10.25,19.0,43.0,0.0,21.5,41.0,20.0,41.75,0.0,11.75,8.25,36.5,34.25,36.5,20.5,20.0,8.5,0.0,0.0,37.5,34.25,0.0,50.0,0.0,0.0,19.75,0.0,0.0,7.0,20.5,0.0,0.0,33.75,26.5,23.5,0.0,0.0,11.25,0.0,0.0,0.0,0.0,
7,0.0,8.75,81.0,41.5,35.5,0.0,39.75,70.5,25.0,11.0,33.75,0.0,35.5,0.0,45.75,0.0,11.5,57.0,0.0,25.5,9.75,56.25,31.25,36.5,35.25,12.25,47.5,24.0,0.0,10.5,0.0,0.0,0.0,0.0,54.0,0.0,0.0,25.0,0.0,0.0,0.0,21.75,0.0,0.0,51.5,0.0,18.5,0.0,0.0,0.0,0.0,
8,0.0,0.0,44.5,11.0,20.75,0.0,28.75,87.75,27.75,0.0,0.0,5.25,12.25,0.0,0.0,15.0,12.0,0.0,0.0,0.0,12.75,31.0,6.0,5.75,16.0,12.5,13.0,13.25,36.5,20.5,44.0,30.5,0.0,0.0,11.0,0.0,0.0,21.25,0.0,14.5,0.0,23.5,18.0,14.75,0.0,0.0,0.0,5.5,29.0,0.0,0.0,
9,0.0,0.0,55.25,0.0,0.0,0.0,23.5,50.0,35.0,0.0,0.0,31.75,0.0,7.25,7.25,11.25,0.0,0.0,0.0,7.5,50.5,0.0,10.75,11.0,41.5,0.0,0.0,60.5,16.75,0.0,32.75,58.5,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,33.5,0.0,0.0,0.0,0.0,0.0,10.25,0.0,0.0,
