,2020-03-01,2020-03-08,2020-03-15,2020-03-22,2020-03-29,2020-04-05,2020-04-12,2020-04-19,2020-04-26,2020-05-03,2020-05-10,2020-05-17,2020-05-24,2020-05-31,2020-06-07,2020-06-14,2020-06-21,2020-06-28,2020-07-05,2020-07-12,2020-07-19,2020-07-26,2020-08-02,2020-08-09,2020-08-16,2020-08-23,2020-08-30,2020-09-06,2020-09-13,2020-09-20,2020-09-27,2020-10-04,2020-10-11,2020-10-18,2020-10-25,2020-11-01,2020-11-08,2020-11-15,2020-11-22,2020-11-29,2020-12-06,2020-12-13,2020-12-20,2020-12-27,2021-01-03,2021-01-10,2021-01-17,2021-01-24,2021-01-31,2021-02-07,2021-02-14,2021-02-21,2021-02-28
0,0.0,0.0,25.5,49.25,40.75,43.5,20.25,24.25,21.0,11.25,16.75,26.5,8.5,15.0,0.0,9.75,20.5,24.0,91.75,92.5,58.25,62.25,44.5,42.75,24.25,21.25,35.5,19.5,11.0,5.5,9.0,5.5,6.5,2.0,12.5,20.0,4.5,2.0,9.0,0.0,10.75,9.5,0.0,17.5,14.5,14.0,17.0,3.0,18.75,9.0,26.0,,
1,0.0,0.0,9.75,53.0,63.0,12.5,36.0,37.5,35.5,29.0,7.25,10.25,9.75,12.75,24.5,15.0,4.75,19.5,43.0,89.75,62.0,93.5,44.5,58.5,34.25,46.25,12.5,14.5,14.25,28.25,14.0,25.0,39.0,5.5,0.0,11.75,12.0,10.0,14.75,0.0,0.0,0.0,2.75,20.0,14.25,42.75,14.25,17.5,10.75,35.5,66.25,,
2,0.0,0.0,12.5,53.25,39.0,73.25,33.75,32.0,18.0,7.0,15.25,18.0,24.0,8.25,0.0,7.5,16.25,20.0,86.0,59.25,75.5,68.75,62.0,52.75,26.75,18.5,41.25,18.0,17.75,3.0,19.0,13.25,2.75,4.75,6.75,14.0,9.25,4.5,11.5,0.0,12.75,8.25,0.0,15.25,20.75,23.75,5.0,4.75,10.25,12.5,32.0,,
3,0.0,0.0,22.25,60.5,32.75,45.5,19.75,29.25,13.0,12.0,23.0,29.0,11.75,11.75,0.0,7.5,15.25,24.5,91.25,79.25,42.25,52.75,53.25,23.75,26.75,17.5,37.0,17.25,21.75,7.75,16.0,7.75,6.5,6.75,3.75,28.5,4.0,8.25,4.75,0.0,12.0,20.0,6.0,5.75,11.25,16.25,12.5,4.25,15.0,15.25,19.25,,
4,0.0,0.0,10.5,36.75,47.75,27.5,38.5,17.75,17.25,6.75,16.0,21.25,12.5,13.0,2.25,7.5,10.25,36.25,44.25,84.5,58.25,62.75,44.75,64.5,24.25,30.0,14.5,24.0,28.25,4.75,20.5,10.0,13.75,5.0,7.5,7.25,11.0,4.25,7.0,0.0,7.5,16.25,2.75,9.25,22.0,12.75,15.25,2.25,18.75,19.0,33.25,,
5,0.0,0.0,16.5,55.25,48.75,47.75,28.25,19.25,14.75,10.75,20.5,26.75,14.75,16.25,0.0,4.0,8.5,15.25,87.75,82.0,48.25,51.25,29.75,27.25,22.0,19.5,21.25,10.0,13.5,9.75,5.0,10.0,2.5,8.75,8.25,17.5,10.75,6.75,8.0,0.0,11.5,2.5,0.0,8.5,16.5,19.25,9.25,2.5,12.25,16.0,12.0,,
6,2.5,4.25,18.0,49.75,38.75,20.5,33.5,27.5,23.75,7.0,8.5,9.75,12.5,11.5,4.75,10.5,7.75,34.5,73.0,74.0,61.25,73.25,59.0,63.25,32.25,23.0,22.0,19.0,8.25,11.0,15.0,17.0,12.25,4.75,6.75,10.0,2.75,0.0,4.75,2.25,8.5,3.0,3.0,11.25,10.75,25.0,13.5,4.5,19.75,28.0,37.0,,
7,0.0,0.0,12.0,17.25,22.5,17.5,29.75,38.75,20.25,10.5,19.0,9.0,6.5,16.75,13.5,9.25,2.25,28.5,38.0,88.5,65.0,100.0,59.5,43.75,65.0,24.5,10.5,8.0,25.0,31.0,18.0,7.5,21.0,9.0,0.0,2.25,9.0,6.75,11.0,0.0,5.0,0.0,21.0,18.0,7.75,38.0,7.25,4.75,9.0,28.25,20.0,,
8,0.0,0.0,13.75,48.75,44.5,38.0,24.75,32.75,19.5,8.5,12.0,5.5,6.0,9.0,0.0,5.25,9.75,41.5,100.0,63.25,47.25,29.0,31.25,41.25,15.25,22.0,31.0,17.5,17.25,17.5,12.0,9.75,4.0,4.75,6.75,16.75,8.75,4.75,2.0,0.0,12.0,8.5,12.0,17.75,5.5,31.75,10.75,4.0,25.5,16.25,20.5,,
9,0.0,0.0,6.75,17.75,52.25,53.0,41.25,18.5,6.5,5.25,14.0,24.5,15.25,20.25,0.0,4.0,12.75,35.0,91.5,92.0,47.25,34.5,23.25,32.0,24.0,26.25,24.0,12.0,15.5,0.0,11.25,9.0,2.0,4.0,6.0,5.25,3.5,4.0,3.5,0.0,14.75,4.0,7.5,8.0,6.5,14.75,12.75,6.25,16.75,14.5,17.0,,
10,0.0,0.0,2.75,52.0,51.75,41.25,10.75,15.5,17.0,8.0,11.5,18.75,8.75,14.0,0.0,7.0,16.25,15.0,100.0,38.5,48.75,51.25,45.0,48.75,40.25,19.5,27.0,21.75,15.75,7.25,24.5,8.25,2.75,3.75,5.0,11.75,13.25,1.25,5.0,0.0,15.0,15.25,1.75,14.75,21.5,40.25,7.0,1.25,32.5,14.25,20.75,,
11,,0.0,5.25,45.5,34.0,27.25,25.75,29.0,22.25,11.0,8.0,24.5,13.25,15.0,0.0,10.0,4.75,13.0,77.25,64.5,67.5,69.5,48.25,32.0,31.75,14.75,12.75,6.25,19.0,7.25,12.5,14.75,8.25,15.5,6.75,15.0,11.0,4.0,1.75,0.0,15.75,12.0,14.25,5.5,21.5,27.5,6.25,2.75,16.75,15.75,29.75,18.25,
12,,0.0,2.5,35.25,40.5,7.25,35.0,38.25,27.75,18.0,10.75,4.75,15.25,12.25,7.25,13.0,13.75,24.5,39.25,67.75,57.25,96.75,37.75,61.0,30.75,28.25,13.5,14.0,18.5,15.75,3.25,20.5,20.75,6.0,0.0,4.5,6.5,4.25,17.75,0.0,5.5,0.0,14.75,9.25,7.5,27.75,12.0,8.0,6.75,33.75,39.75,24.25,
13,,0.0,8.5,57.25,27.25,36.0,42.5,34.5,15.5,25.0,12.25,12.75,8.5,25.5,2.5,5.75,9.5,54.5,59.25,85.5,64.5,73.75,48.0,44.5,50.0,24.0,29.0,8.75,16.25,23.25,17.25,14.0,9.5,10.25,9.0,22.5,5.0,5.0,9.5,0.0,12.0,13.25,3.75,10.0,15.75,31.25,24.0,2.25,22.75,26.5,39.25,29.25,
14,,0.0,13.0,52.0,36.75,57.25,35.25,22.0,7.0,11.0,17.75,13.0,13.0,21.0,2.75,4.75,15.5,23.0,90.25,75.75,67.75,72.25,34.0,57.0,32.25,15.5,12.75,17.25,20.25,13.0,11.0,16.75,5.75,12.25,7.0,15.5,2.5,4.5,2.75,0.0,16.5,10.75,7.5,11.5,11.25,10.75,12.75,7.0,26.0,7.0,32.0,19.0,
15,,0.0,11.0,34.25,33.75,14.0,38.0,17.5,28.25,9.75,12.75,12.25,7.0,12.5,10.75,8.75,4.75,20.5,42.5,87.25,50.0,79.75,54.0,57.75,32.5,48.5,15.5,12.25,10.75,11.5,6.25,17.25,22.75,10.5,0.0,9.0,9.5,2.0,14.5,0.0,7.75,0.0,10.75,12.0,16.5,35.75,11.0,13.5,7.75,24.25,43.25,30.0,
16,,1.75,28.25,47.0,36.25,17.5,30.5,33.5,11.5,13.0,14.0,15.0,13.0,10.0,5.0,5.25,14.5,18.25,80.75,65.0,70.0,60.75,44.0,41.25,15.0,23.5,22.0,16.5,17.75,7.5,11.0,10.0,13.25,4.75,11.5,8.5,5.0,7.0,2.25,2.0,7.25,4.75,2.75,10.75,9.25,15.25,2.75,0.0,8.5,12.75,26.25,23.25,
17,,0.0,9.5,29.25,26.75,10.0,46.75,44.25,15.5,14.5,16.25,8.75,11.0,14.25,24.25,7.0,16.75,21.25,27.5,75.5,79.5,96.75,53.75,33.75,52.75,21.75,10.0,7.75,17.75,15.25,12.5,17.5,23.5,6.75,0.0,4.25,4.25,9.0,11.0,0.0,0.0,0.0,12.0,8.75,2.75,40.0,9.5,6.75,13.75,18.75,20.0,41.0,
18,,0.0,13.0,44.75,34.75,58.75,16.5,19.5,22.0,10.75,20.75,19.5,11.5,16.75,0.0,7.25,12.25,19.0,97.25,72.0,48.0,62.0,27.5,50.75,27.5,19.0,31.25,11.0,25.0,5.0,10.0,7.75,2.5,6.5,2.5,18.25,6.5,4.5,4.0,0.0,10.0,9.75,2.75,15.75,5.0,20.25,15.25,2.0,24.75,18.25,23.75,16.25,
19,,0.0,5.5,58.0,41.0,24.75,29.75,17.5,36.75,9.5,20.75,14.5,9.75,18.25,2.75,10.75,21.25,8.0,73.25,90.25,55.0,56.75,47.5,33.0,31.5,24.75,22.25,20.0,33.75,13.75,19.5,14.5,13.0,4.75,4.75,13.75,5.0,0.0,10.25,0.0,15.5,13.5,6.75,6.25,16.75,14.25,18.75,10.5,17.75,20.25,39.25,10.0,
20,,8.5,42.0,39.0,29.0,27.5,63.25,58.5,7.5,3.25,11.75,9.75,6.25,23.0,11.75,11.25,18.75,37.5,80.0,82.75,88.0,85.0,73.25,57.75,21.25,53.0,26.75,16.25,29.0,13.0,17.5,18.5,28.5,17.0,28.75,19.25,0.0,0.0,0.0,17.5,0.0,6.25,8.5,16.5,20.5,4.75,15.75,11.75,16.0,23.25,47.25,8.25,53.5
21,,0.0,9.0,44.0,18.5,14.25,44.25,17.75,20.75,17.75,15.0,2.0,8.25,19.75,17.25,7.0,6.75,20.25,50.0,91.0,68.75,78.0,51.75,55.75,40.5,18.25,7.0,9.75,12.25,12.5,9.5,11.75,13.25,2.25,0.0,4.0,4.0,6.25,12.5,0.0,4.5,0.0,16.75,8.5,12.25,33.25,4.75,6.5,4.25,16.0,35.0,28.5,22.25
22,,,17.5,58.0,52.25,51.5,26.5,25.75,17.5,8.25,9.75,14.0,11.5,9.0,0.0,1.75,4.75,28.5,100.0,87.5,59.75,51.25,41.0,30.75,30.0,9.75,38.75,3.25,16.0,10.5,8.25,2.25,4.75,10.25,7.0,15.0,8.0,6.25,5.5,0.0,7.75,16.0,0.0,11.5,5.25,28.75,15.25,0.0,16.25,18.75,22.0,15.5,35.5
23,,,9.75,42.75,38.0,40.0,11.0,14.0,15.5,6.25,10.25,10.25,8.75,12.75,0.0,13.5,8.5,17.75,86.75,74.5,40.75,35.75,28.0,38.5,15.5,4.75,25.25,16.5,21.25,6.0,25.5,14.0,1.75,4.5,9.5,15.5,3.0,3.75,6.75,0.0,9.75,13.5,4.75,6.75,12.75,25.75,7.5,3.75,16.75,8.0,19.25,10.25,39.25
