,2020-03-01,2020-03-08,2020-03-15,2020-03-22,2020-03-29,2020-04-05,2020-04-12,2020-04-19,2020-04-26,2020-05-03,2020-05-10,2020-05-17,2020-05-24,2020-05-31,2020-06-07,2020-06-14,2020-06-21,2020-06-28,2020-07-05,2020-07-12,2020-07-19,2020-07-26,2020-08-02,2020-08-09,2020-08-16,2020-08-23,2020-08-30,2020-09-06,2020-09-13,2020-09-20,2020-09-27,2020-10-04,2020-10-11,2020-10-18,2020-10-25,2020-11-01,2020-11-08,2020-11-15,2020-11-22,2020-11-29,2020-12-06,2020-12-13,2020-12-20,2020-12-27,2021-01-03,2021-01-10,2021-01-17,2021-01-24,2021-01-31,2021-02-07,2021-02-14,2021-02-21
0,0.0,3.0,12.75,15.25,7.0,9.5,8.5,9.5,10.75,4.75,2.5,8.25,3.5,5.5,3.25,7.25,15.25,7.75,8.0,15.0,26.25,23.75,35.0,57.25,68.75,81.75,81.75,94.0,83.5,76.25,70.0,77.0,82.0,78.75,69.5,55.5,37.0,54.75,47.25,43.75,45.5,67.0,77.25,84.0,84.75,64.25,45.5,33.0,33.75,31.25,23.5,
1,0.0,2.25,9.75,11.5,7.0,5.25,7.75,10.5,7.25,0.25,6.0,6.5,1.75,5.5,8.5,8.0,13.0,4.5,12.0,18.75,20.75,28.25,33.75,52.25,67.5,63.0,84.75,92.5,77.5,63.75,81.0,62.0,91.0,76.0,71.5,50.5,53.0,59.0,38.0,51.75,38.25,45.0,67.5,62.75,69.25,58.25,34.5,32.75,22.75,31.75,30.25,
2,0.0,3.5,12.0,15.0,6.25,8.75,9.0,12.0,8.5,4.5,3.25,8.75,3.75,4.25,2.0,7.0,15.25,7.0,9.25,23.5,24.5,28.25,39.0,58.0,65.75,85.5,82.5,98.0,72.25,91.25,72.0,72.5,77.5,89.0,80.5,62.0,39.5,54.25,46.75,34.5,46.5,57.0,72.75,73.5,83.75,61.75,49.75,38.5,36.25,29.5,25.25,
3,0.0,3.25,11.5,10.0,6.0,5.5,8.75,7.5,8.5,4.5,4.0,10.0,5.0,4.75,3.5,6.75,13.5,8.5,9.5,15.75,25.25,24.75,36.5,48.0,67.25,68.5,74.25,98.0,80.5,65.0,64.5,71.75,73.5,81.0,72.75,59.0,40.0,38.0,44.5,35.75,43.25,60.5,54.75,73.25,65.0,51.5,49.75,26.5,27.5,22.5,28.5,
4,0.0,3.0,13.75,12.0,9.0,9.75,11.75,8.5,7.5,5.5,2.75,9.0,4.25,2.75,3.75,6.25,13.0,5.5,11.0,16.5,28.5,27.25,33.5,59.75,66.25,75.5,78.0,97.5,73.75,84.5,68.5,72.25,78.0,77.25,71.25,59.75,46.0,51.25,42.5,39.0,49.25,57.5,67.5,67.0,79.0,51.25,54.25,26.5,30.75,23.25,22.5,
5,0.0,2.0,12.25,11.0,8.5,8.25,10.75,10.0,8.5,4.0,4.25,5.25,3.75,3.25,4.75,8.5,13.25,7.0,9.5,19.0,23.75,29.25,33.75,59.0,67.25,79.0,70.0,95.5,79.0,79.25,70.5,72.25,76.25,92.25,70.0,52.75,39.5,44.0,43.25,38.5,46.5,58.75,59.0,71.75,76.0,54.25,46.5,32.75,36.0,37.0,24.0,
6,0.0,3.75,16.75,10.5,10.5,9.25,11.25,12.5,11.0,6.0,2.75,7.75,5.0,5.5,6.5,9.25,14.5,4.75,9.25,17.0,23.0,31.0,36.5,56.0,67.25,76.5,77.0,99.0,87.0,80.5,69.25,82.5,90.5,78.0,82.25,58.75,41.25,48.75,43.25,34.0,54.75,63.25,59.75,67.25,82.25,53.0,48.25,33.25,24.25,27.0,34.25,
7,0.0,3.25,9.75,10.25,8.0,3.75,4.75,7.75,9.25,0.75,2.25,7.25,2.0,7.0,7.5,8.25,12.25,4.75,12.25,26.25,19.75,31.25,20.75,48.0,58.75,61.25,86.5,93.5,78.25,73.5,76.5,60.0,96.25,62.25,72.5,49.5,41.5,44.0,33.25,38.5,37.75,38.5,61.0,55.75,71.0,59.25,37.0,30.75,22.5,23.5,29.5,
8,0.0,4.75,12.5,10.0,10.0,8.25,11.25,9.5,8.75,2.0,3.25,7.0,3.25,5.25,5.0,7.75,11.75,5.5,9.75,19.5,22.0,25.25,27.75,55.75,63.25,65.75,88.25,94.5,81.75,72.5,76.25,73.0,74.25,75.0,70.5,59.5,51.0,51.25,42.75,36.75,46.5,57.75,71.5,72.5,81.75,55.25,41.25,26.5,30.5,18.0,19.75,
9,,4.0,7.75,12.0,6.75,8.0,9.75,10.75,7.5,3.25,4.25,8.5,4.25,3.5,5.5,5.5,14.25,5.75,6.0,18.25,26.25,25.0,28.5,51.5,52.5,75.0,76.75,92.5,70.75,77.25,66.5,70.0,85.25,80.75,72.5,54.0,37.5,46.5,32.5,39.0,37.75,53.0,65.0,72.0,62.75,49.75,47.75,29.75,32.75,29.0,27.75,26.25
10,,3.25,9.5,14.0,9.0,8.75,6.5,12.75,8.25,1.75,4.75,6.25,2.75,6.0,8.5,5.75,13.75,5.5,8.25,19.75,22.25,27.0,27.5,45.25,58.0,63.25,81.25,90.5,72.75,66.5,75.25,54.5,91.5,77.75,55.25,47.0,45.25,51.25,31.0,42.5,49.0,41.25,59.25,60.25,60.25,55.0,35.25,32.5,20.25,26.5,25.5,29.0
11,,2.75,10.0,11.75,9.25,9.0,6.5,12.75,11.75,3.5,4.5,6.0,1.75,4.75,4.25,8.0,10.5,5.75,13.5,17.0,25.0,25.25,33.5,51.75,54.75,72.5,78.5,100.0,73.5,73.25,74.0,65.75,83.75,76.25,74.75,58.0,42.75,45.75,43.75,43.0,49.5,56.0,64.0,64.0,63.75,56.75,43.75,32.0,32.5,26.5,39.25,29.25
