,2020-03-01,2020-03-08,2020-03-15,2020-03-22,2020-03-29,2020-04-05,2020-04-12,2020-04-19,2020-04-26,2020-05-03,2020-05-10,2020-05-17,2020-05-24,2020-05-31,2020-06-07,2020-06-14,2020-06-21,2020-06-28,2020-07-05,2020-07-12,2020-07-19,2020-07-26,2020-08-02,2020-08-09,2020-08-16,2020-08-23,2020-08-30,2020-09-06,2020-09-13,2020-09-20,2020-09-27,2020-10-04,2020-10-11,2020-10-18,2020-10-25,2020-11-01,2020-11-08,2020-11-15,2020-11-22,2020-11-29,2020-12-06,2020-12-13,2020-12-20,2020-12-27,2021-01-03,2021-01-10,2021-01-17,2021-01-24,2021-01-31,2021-02-07,2021-02-14,2021-02-21,2021-02-28
0,0.0,4.5,16.75,3.5,2.0,3.25,9.75,1.75,3.75,0.0,0.0,2.0,3.75,0.0,0.0,4.0,6.0,0.0,6.5,0.0,0.0,11.25,77.25,79.25,51.75,60.25,28.25,42.75,40.75,41.25,61.5,49.0,99.5,61.0,70.75,25.75,53.5,48.75,32.5,11.75,27.75,10.5,23.5,24.25,60.25,25.0,25.25,40.75,42.0,40.75,34.75,,
1,0.0,2.25,5.5,10.75,9.25,4.75,15.75,6.0,1.75,1.5,3.0,0.0,1.75,1.5,7.75,0.0,0.0,0.0,0.0,3.5,0.0,4.0,33.75,54.25,30.5,33.25,26.25,43.0,37.75,29.0,35.75,65.75,100.0,40.5,49.75,40.0,32.75,49.0,15.5,5.25,13.25,27.75,27.5,38.75,52.0,69.5,41.75,29.75,27.0,18.5,14.0,,
2,0.0,7.0,10.5,3.75,0.0,8.25,4.5,6.5,3.5,0.0,0.0,2.25,3.0,0.0,0.0,2.25,8.75,0.0,5.75,0.0,0.0,11.5,74.75,68.75,55.75,46.5,21.25,36.0,45.5,30.25,53.25,50.75,97.75,69.5,48.5,22.25,34.0,33.75,21.25,9.5,21.25,5.5,30.25,27.5,61.25,40.0,17.0,41.25,24.25,52.25,10.5,,
3,0.0,0.0,14.75,4.5,1.25,0.0,4.0,3.0,1.75,0.0,0.0,7.25,3.25,0.0,0.0,1.5,10.5,1.75,0.0,0.0,0.0,3.5,75.25,50.0,31.5,35.25,23.5,37.0,45.75,35.5,54.25,40.0,91.0,50.5,36.75,19.25,34.75,48.25,27.25,18.25,16.0,12.25,27.0,28.0,43.0,24.5,12.25,21.0,29.25,34.0,25.0,,
4,0.0,1.75,17.5,1.25,3.0,5.0,7.0,6.75,1.25,0.0,0.0,2.25,7.5,0.0,0.0,0.0,7.75,2.25,2.25,0.0,0.0,6.75,68.25,63.5,62.0,54.25,20.75,52.5,41.75,44.5,63.0,52.5,98.25,70.75,44.25,31.75,44.25,38.75,25.25,14.75,29.0,14.25,30.0,35.75,61.25,35.5,16.5,48.5,39.25,38.75,26.5,,
5,0.0,2.0,16.25,6.75,1.75,5.75,4.0,1.75,5.25,0.0,1.75,3.25,3.75,0.0,0.0,3.0,11.0,1.25,5.25,0.0,0.0,4.5,73.75,70.75,28.25,44.0,28.25,51.25,41.5,32.75,54.75,49.0,91.75,68.0,36.5,16.0,43.0,39.75,20.25,15.25,19.0,9.25,35.25,17.0,71.75,32.5,10.25,25.75,30.0,38.5,18.0,,
6,0.0,2.0,10.25,5.25,5.25,0.0,11.75,1.75,5.75,0.0,3.5,3.5,0.0,0.0,0.0,3.75,3.75,4.0,1.75,2.25,0.0,9.25,79.25,79.0,42.5,40.5,34.5,54.5,35.0,38.25,59.25,55.75,72.0,59.0,63.25,49.75,37.75,27.0,25.75,18.5,20.75,21.0,35.25,28.0,74.25,37.75,35.75,36.25,25.25,32.25,30.25,,
7,0.0,0.0,14.75,13.0,5.25,1.75,15.25,5.25,3.5,5.25,2.0,0.0,0.0,5.75,4.0,4.0,2.0,0.0,0.0,9.0,0.0,4.5,57.5,47.5,37.75,46.0,22.25,38.5,36.25,31.0,36.5,81.0,84.5,48.75,37.0,55.5,56.75,53.25,6.0,14.0,17.5,41.5,25.75,42.0,50.25,36.5,40.0,28.5,17.25,25.75,17.0,,
8,0.0,8.25,18.0,5.25,6.75,3.5,20.75,8.0,6.0,2.5,2.0,1.75,4.75,1.75,2.5,2.5,0.0,2.25,2.25,7.0,0.0,6.5,49.0,72.25,46.75,43.75,28.25,51.0,41.5,32.25,41.0,73.75,90.75,63.0,71.5,44.5,54.5,50.0,11.75,19.0,32.0,20.25,32.75,37.25,73.25,48.75,25.75,28.0,28.25,25.0,22.75,,
9,,2.0,20.75,8.0,8.5,8.0,12.75,3.25,5.5,2.0,0.0,3.5,5.75,2.25,0.0,1.75,8.75,0.0,2.0,2.5,0.0,13.25,67.75,73.0,43.0,35.5,37.75,43.5,42.75,33.0,52.5,41.5,93.5,63.0,59.0,24.0,44.5,45.5,15.25,18.0,11.25,9.0,33.75,27.0,56.0,43.5,26.25,37.0,25.0,24.5,20.25,19.25,
