,2020-03-01,2020-03-08,2020-03-15,2020-03-22,2020-03-29,2020-04-05,2020-04-12,2020-04-19,2020-04-26,2020-05-03,2020-05-10,2020-05-17,2020-05-24,2020-05-31,2020-06-07,2020-06-14,2020-06-21,2020-06-28,2020-07-05,2020-07-12,2020-07-19,2020-07-26,2020-08-02,2020-08-09,2020-08-16,2020-08-23,2020-08-30,2020-09-06,2020-09-13,2020-09-20,2020-09-27,2020-10-04,2020-10-11,2020-10-18,2020-10-25,2020-11-01,2020-11-08,2020-11-15,2020-11-22,2020-11-29,2020-12-06,2020-12-13,2020-12-20,2020-12-27,2021-01-03,2021-01-10,2021-01-17,2021-01-24,2021-01-31,2021-02-07,2021-02-14,2021-02-21,2021-02-28,2021-03-07
0,0.0,0.0,0.0,23.25,9.75,0.0,0.0,0.0,0.0,9.25,0.0,26.5,9.75,0.0,85.5,0.0,0.0,7.5,9.25,57.5,30.75,25.0,0.0,21.5,13.0,11.25,0.0,13.5,40.0,25.5,24.5,23.5,21.5,0.0,0.0,32.0,9.0,28.25,0.0,7.0,0.0,0.0,0.0,0.0,65.5,0.0,23.25,0.0,27.5,0.0,0.0,,,
1,0.0,0.0,14.25,13.5,0.0,33.75,0.0,0.0,0.0,15.75,0.0,13.0,75.25,44.5,36.5,0.0,20.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.25,31.5,23.0,46.0,71.5,0.0,10.25,0.0,0.0,0.0,8.5,0.0,8.0,30.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,24.25,0.0,,,
2,0.0,0.0,7.0,12.5,30.5,0.0,0.0,0.0,0.0,11.75,0.0,11.0,27.75,0.0,36.25,18.25,0.0,8.75,32.25,97.0,50.0,31.0,0.0,45.25,32.75,14.25,0.0,29.75,34.5,14.25,0.0,18.75,18.5,0.0,0.0,5.75,0.0,22.25,0.0,0.0,0.0,0.0,0.0,0.0,23.75,0.0,17.75,0.0,29.25,0.0,0.0,,,
3,0.0,0.0,14.0,41.0,25.5,38.25,0.0,0.0,0.0,13.0,0.0,0.0,33.0,0.0,64.5,18.5,0.0,19.75,23.5,62.25,42.0,38.25,0.0,38.75,0.0,38.5,0.0,0.0,30.75,29.0,17.0,29.0,10.25,0.0,0.0,42.25,9.5,25.75,0.0,19.5,0.0,0.0,0.0,27.5,30.5,0.0,0.0,0.0,10.25,0.0,0.0,,,
4,0.0,0.0,15.75,14.25,0.0,32.5,0.0,0.0,0.0,27.0,15.25,15.0,54.5,52.25,26.0,0.0,58.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,31.0,37.75,45.75,0.0,35.75,0.0,0.0,0.0,10.0,0.0,0.0,0.0,44.0,0.0,45.0,0.0,0.0,0.0,0.0,11.75,0.0,0.0,0.0,24.5,0.0,,,
5,0.0,0.0,14.0,20.0,0.0,13.5,0.0,0.0,0.0,0.0,0.0,0.0,49.25,0.0,50.5,7.0,0.0,18.75,0.0,100.0,36.25,20.25,0.0,6.75,13.0,15.25,0.0,5.0,21.5,6.75,9.5,19.75,0.0,0.0,0.0,18.75,0.0,9.5,0.0,4.5,0.0,0.0,0.0,14.0,30.75,0.0,0.0,0.0,16.0,0.0,0.0,,,
6,0.0,0.0,18.0,17.5,0.0,17.5,0.0,0.0,0.0,0.0,14.75,55.0,0.0,0.0,51.75,36.5,12.5,0.0,0.0,40.5,0.0,45.5,17.0,47.5,0.0,47.5,15.75,12.75,85.5,0.0,47.25,34.5,0.0,0.0,24.75,38.0,31.5,12.5,12.0,33.5,24.75,0.0,0.0,50.0,0.0,23.25,0.0,0.0,0.0,13.0,0.0,,,
7,0.0,0.0,17.25,0.0,0.0,21.0,0.0,16.25,0.0,15.5,17.0,0.0,50.0,60.25,42.75,0.0,37.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.75,16.25,15.75,41.0,77.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,13.5,0.0,37.75,0.0,14.0,0.0,0.0,0.0,0.0,37.25,0.0,0.0,0.0,12.75,0.0,,,
8,0.0,0.0,0.0,0.0,0.0,30.25,0.0,11.0,0.0,0.0,45.5,9.75,62.75,35.5,51.25,0.0,70.75,0.0,0.0,0.0,0.0,0.0,43.5,0.0,0.0,17.25,30.0,48.0,65.5,0.0,75.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,82.0,0.0,37.5,0.0,0.0,0.0,0.0,35.75,0.0,0.0,0.0,0.0,0.0,,,
9,0.0,0.0,0.0,0.0,0.0,9.25,0.0,32.5,0.0,0.0,44.5,30.0,14.25,27.0,41.5,0.0,26.0,7.0,0.0,25.0,0.0,9.0,35.0,9.75,34.0,0.0,0.0,34.0,24.0,6.75,81.5,0.0,7.0,0.0,25.0,7.5,18.5,11.5,36.25,0.0,24.5,0.0,0.0,0.0,14.25,36.0,6.5,0.0,0.0,0.0,0.0,,,
