,2020-03-01,2020-03-08,2020-03-15,2020-03-22,2020-03-29,2020-04-05,2020-04-12,2020-04-19,2020-04-26,2020-05-03,2020-05-10,2020-05-17,2020-05-24,2020-05-31,2020-06-07,2020-06-14,2020-06-21,2020-06-28,2020-07-05,2020-07-12,2020-07-19,2020-07-26,2020-08-02,2020-08-09,2020-08-16,2020-08-23,2020-08-30,2020-09-06,2020-09-13,2020-09-20,2020-09-27,2020-10-04,2020-10-11,2020-10-18,2020-10-25,2020-11-01,2020-11-08,2020-11-15,2020-11-22,2020-11-29,2020-12-06,2020-12-13,2020-12-20,2020-12-27,2021-01-03,2021-01-10,2021-01-17,2021-01-24,2021-01-31,2021-02-07,2021-02-14,2021-02-21,2021-02-28,2021-03-07,2021-03-14,2021-03-21,2021-03-28,2021-04-04,2021-04-11,2021-04-18,2021-04-25,2021-05-02,2021-05-09,2021-05-16,2021-05-23,2021-05-30
0,0.0,0.0,39.5,0.0,0.0,0.0,0.0,63.0,23.75,43.25,85.0,20.0,0.0,0.0,23.75,10.75,7.75,10.5,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.25,30.0,0.0,0.0,12.25,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,22.75,0.0,0.0,0.0,36.75,0.0,33.25,0.0,20.5,0.0,,,,,,,,,,,,,,,
1,0.0,0.0,0.0,26.75,0.0,0.0,38.5,37.5,37.0,23.75,61.75,0.0,38.5,45.75,22.25,35.0,35.0,0.0,13.25,0.0,28.0,53.25,15.0,43.25,0.0,0.0,0.0,0.0,30.0,34.25,20.75,0.0,35.75,0.0,0.0,26.0,38.5,0.0,23.75,9.75,33.75,0.0,15.25,0.0,35.75,13.0,0.0,0.0,0.0,13.0,0.0,,,,,,,,,,,,,,,
2,0.0,0.0,9.5,0.0,0.0,0.0,0.0,62.5,45.0,19.5,30.75,11.75,0.0,0.0,7.0,21.0,21.0,33.75,0.0,21.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,48.25,0.0,0.0,11.5,0.0,11.75,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,22.75,32.75,70.0,0.0,12.5,0.0,,,,,,,,,,,,,,,
3,0.0,0.0,28.0,0.0,0.0,0.0,0.0,59.0,8.0,43.25,65.0,11.25,0.0,0.0,47.0,0.0,20.75,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.25,10.5,0.0,0.0,11.0,0.0,19.75,0.0,0.0,0.0,0.0,0.0,0.0,10.75,0.0,0.0,0.0,8.25,11.0,86.25,0.0,45.5,15.75,,,,,,,,,,,,,,,
4,0.0,0.0,0.0,14.0,0.0,0.0,13.0,38.0,47.25,71.5,36.5,0.0,24.25,31.5,51.25,22.0,67.75,43.5,49.5,14.0,0.0,52.0,15.0,14.0,0.0,0.0,0.0,10.5,28.75,52.0,0.0,0.0,12.0,0.0,12.0,0.0,13.25,0.0,0.0,20.75,22.5,0.0,0.0,0.0,0.0,11.5,43.5,12.25,0.0,12.75,15.25,,,,,,,,,,,,,,,
5,0.0,0.0,35.5,0.0,0.0,0.0,0.0,62.75,65.25,60.25,59.25,37.5,0.0,0.0,35.5,12.75,35.75,56.25,0.0,30.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,23.25,0.0,0.0,11.25,0.0,13.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.75,23.75,37.25,0.0,26.0,18.0,,,,,,,,,,,,,,,
6,0.0,0.0,25.0,14.5,0.0,0.0,13.0,46.75,24.5,22.75,32.75,22.5,37.0,21.0,31.0,20.75,32.0,27.75,0.0,25.0,13.25,25.0,28.25,15.0,0.0,0.0,0.0,0.0,8.75,41.25,0.0,0.0,22.0,0.0,10.5,14.25,0.0,0.0,23.75,0.0,0.0,10.0,0.0,0.0,47.25,0.0,0.0,32.5,0.0,23.5,0.0,,,,,,,,,,,,,,,
7,0.0,0.0,0.0,22.5,0.0,0.0,25.75,32.75,26.25,0.0,69.75,10.25,66.75,17.5,35.5,37.75,33.0,16.0,12.0,0.0,0.0,51.0,41.5,20.5,0.0,0.0,0.0,7.25,0.0,27.25,0.0,0.0,16.5,0.0,0.0,12.5,27.75,0.0,35.25,21.5,16.5,0.0,19.0,0.0,43.25,0.0,23.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
8,0.0,0.0,10.0,13.75,0.0,0.0,7.5,32.25,33.0,38.75,25.0,11.25,0.0,22.0,18.0,10.5,10.5,36.0,28.0,29.25,25.0,22.75,0.0,0.0,0.0,0.0,0.0,0.0,17.0,42.75,0.0,6.75,0.0,0.0,8.0,0.0,13.0,0.0,0.0,10.25,11.75,11.25,14.5,0.0,13.75,27.0,18.25,44.25,0.0,12.0,0.0,,,,,,,,,,,,,,,
9,,0.0,28.0,0.0,0.0,0.0,11.75,45.25,12.0,41.25,63.25,17.5,0.0,32.25,19.25,39.25,56.0,24.5,38.25,16.5,0.0,14.0,0.0,14.0,0.0,0.0,0.0,20.5,28.25,13.0,10.5,0.0,6.5,0.0,6.75,12.5,0.0,0.0,10.75,0.0,11.0,0.0,28.5,0.0,12.0,25.75,6.5,25.0,0.0,12.25,18.25,0.0,,,,,,,,,,,,,,
