,2020-03-08,2020-03-15,2020-03-22,2020-03-29,2020-04-05,2020-04-12,2020-04-19,2020-04-26,2020-05-03,2020-05-10,2020-05-17,2020-05-24,2020-05-31,2020-06-07,2020-06-14,2020-06-21,2020-06-28,2020-07-05,2020-07-12,2020-07-19,2020-07-26,2020-08-02,2020-08-09,2020-08-16,2020-08-23,2020-08-30,2020-09-06,2020-09-13,2020-09-20,2020-09-27,2020-10-04,2020-10-11,2020-10-18,2020-10-25,2020-11-01,2020-11-08,2020-11-15,2020-11-22,2020-11-29,2020-12-06,2020-12-13,2020-12-20,2020-12-27,2021-01-03,2021-01-10,2021-01-17,2021-01-24,2021-01-31,2021-02-07,2021-02-14,2021-02-21,2021-02-28,2021-03-07,2021-03-14
0,0.0,0.0,0.0,14.75,0.0,0.0,22.25,7.0,0.0,33.25,7.25,22.25,58.25,7.0,10.5,0.0,0.0,47.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.25,0.0,28.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5,0.0,0.0,0.0,0.0,0.0,65.0,0.0,0.0,,
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,46.5,0.0,21.25,0.0,0.0,0.0,49.25,0.0,0.0,0.0,0.0,0.0,0.0,15.75,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.25,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.75,0.0,0.0,0.0,0.0,13.25,,
2,32.25,0.0,14.25,0.0,0.0,39.0,38.75,0.0,0.0,34.5,0.0,73.0,0.0,20.5,11.0,21.5,22.5,0.0,52.75,37.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.25,0.0,0.0,0.0,25.0,0.0,46.75,0.0,0.0,0.0,0.0,33.75,0.0,0.0,0.0,,
3,,0.0,48.0,0.0,0.0,0.0,22.5,0.0,0.0,21.75,18.75,41.0,0.0,0.0,56.0,0.0,20.25,43.25,50.0,23.25,45.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.5,0.0,0.0,0.0,0.0,40.75,0.0,20.5,0.0,,
4,,0.0,0.0,0.0,0.0,39.0,14.25,0.0,0.0,25.75,12.75,65.75,0.0,47.5,28.75,0.0,23.75,13.5,18.25,0.0,39.5,0.0,0.0,0.0,0.0,25.0,0.0,0.0,12.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.25,0.0,0.0,0.0,56.5,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
5,,0.0,50.0,11.75,0.0,0.0,12.0,21.25,0.0,0.0,0.0,0.0,31.0,0.0,20.0,0.0,0.0,47.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,10.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.75,0.0,0.0,0.0,0.0,0.0,99.5,0.0,0.0,,
6,,0.0,36.75,33.5,0.0,23.75,24.0,32.25,0.0,41.5,30.75,32.25,21.5,21.0,48.5,0.0,0.0,20.5,23.5,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,9.25,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.25,20.0,0.0,0.0,0.0,0.0,10.25,0.0,0.0,19.5,0.0,0.0,50.0,0.0,22.5,,
7,,0.0,25.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,22.25,57.5,0.0,21.5,11.0,12.0,20.5,23.0,39.5,24.75,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,41.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.25,0.0,0.0,0.0,23.75,0.0,50.0,0.0,0.0,0.0,0.0,21.25,0.0,43.75,0.0,,
8,,,0.0,13.25,0.0,0.0,37.25,20.5,0.0,52.75,42.0,11.5,35.75,11.5,21.0,0.0,0.0,22.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.25,0.0,20.25,0.0,0.0,0.0,0.0,10.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,88.75,0.0,0.0,0.0,
9,,,60.25,0.0,0.0,34.75,25.0,0.0,0.0,12.0,17.75,91.5,0.0,19.25,41.75,0.0,41.5,42.75,13.0,26.75,36.5,0.0,0.0,0.0,0.0,26.75,0.0,0.0,11.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.5,0.0,0.0,0.0,12.75,0.0,53.25,0.0,0.0,0.0,0.0,0.0,0.0,43.5,0.0,0.0,
