,2020-03-01,2020-03-08,2020-03-15,2020-03-22,2020-03-29,2020-04-05,2020-04-12,2020-04-19,2020-04-26,2020-05-03,2020-05-10,2020-05-17,2020-05-24,2020-05-31,2020-06-07,2020-06-14,2020-06-21,2020-06-28,2020-07-05,2020-07-12,2020-07-19,2020-07-26,2020-08-02,2020-08-09,2020-08-16,2020-08-23,2020-08-30,2020-09-06,2020-09-13,2020-09-20,2020-09-27,2020-10-04,2020-10-11,2020-10-18,2020-10-25,2020-11-01,2020-11-08,2020-11-15,2020-11-22,2020-11-29,2020-12-06,2020-12-13,2020-12-20,2020-12-27,2021-01-03,2021-01-10,2021-01-17,2021-01-24,2021-01-31,2021-02-07,2021-02-14,2021-02-21
0,0.75,9.5,35.25,27.5,24.5,28.0,44.75,59.25,74.5,74.5,75.25,48.75,62.5,62.75,66.0,49.5,86.5,59.75,60.5,63.0,52.0,48.25,35.25,58.0,45.0,39.0,34.5,37.5,38.5,26.0,41.5,37.75,31.25,39.0,42.0,43.5,77.75,69.25,59.25,61.5,81.5,82.5,85.5,96.75,86.5,74.5,58.5,50.75,39.25,41.75,37.5,
1,1.0,9.0,27.5,25.0,23.25,36.5,46.5,68.0,65.75,69.25,60.0,45.5,51.25,55.5,51.75,55.25,74.75,55.5,62.0,65.75,47.0,44.25,41.75,49.0,41.5,51.75,38.5,31.0,38.25,26.0,34.25,40.75,33.5,35.5,42.75,51.75,60.0,64.25,63.25,77.25,76.75,77.75,68.5,98.0,86.25,65.25,54.75,48.5,35.25,31.75,40.75,
2,1.0,8.0,37.0,24.75,21.5,37.25,54.5,63.5,78.75,82.5,80.0,50.0,59.0,66.5,64.75,56.25,92.25,59.75,61.5,59.75,47.25,43.25,41.5,55.25,44.5,47.75,37.25,37.0,31.5,23.0,37.0,45.5,29.25,38.25,49.5,44.75,75.5,77.25,71.75,75.25,77.75,86.5,82.5,84.5,88.75,75.25,55.5,47.0,36.75,36.5,44.5,
3,1.5,8.0,36.25,30.25,24.5,31.75,50.25,58.5,84.5,80.25,89.25,54.5,63.5,63.75,67.25,45.5,79.25,58.0,58.5,58.75,50.75,48.25,44.25,60.0,53.25,46.0,36.75,42.25,36.5,25.0,42.25,39.0,33.25,34.75,44.25,44.25,74.75,70.25,63.75,65.25,80.5,90.0,73.75,90.5,90.5,71.5,55.0,44.75,35.25,36.0,41.25,
4,0.0,8.25,32.75,28.75,22.25,30.75,43.5,59.0,76.25,77.5,84.75,55.25,60.25,57.5,66.75,52.5,78.5,51.5,61.0,60.75,48.75,42.75,37.75,50.0,38.0,46.5,34.25,41.0,33.5,30.25,40.0,35.0,27.75,36.0,40.75,39.0,80.5,61.0,67.75,59.75,81.5,84.25,92.5,91.5,78.75,74.0,56.25,47.0,38.0,39.75,33.0,
5,1.0,9.5,42.25,28.0,26.5,34.5,51.5,55.0,74.5,74.25,88.5,48.25,60.75,63.0,63.0,46.25,84.75,58.25,63.25,64.75,51.25,47.75,31.75,57.25,43.25,45.0,36.5,33.75,33.25,24.25,40.5,40.25,35.0,34.5,50.5,48.75,75.25,70.75,64.5,67.5,80.0,78.25,97.75,86.5,80.0,66.5,63.0,53.0,41.75,37.5,41.75,
6,0.0,8.75,28.75,23.75,23.0,36.75,49.25,67.25,76.5,81.0,84.25,63.0,56.75,61.25,69.0,54.0,89.0,57.25,54.75,56.5,46.75,44.0,38.25,65.75,42.0,47.25,34.25,32.75,38.25,27.75,40.75,38.0,28.0,33.25,43.5,49.75,60.0,66.5,64.0,68.25,94.5,81.0,76.75,90.0,83.5,76.25,54.25,50.5,35.0,38.0,39.75,
7,0.25,12.75,32.25,36.25,22.25,40.25,54.25,70.75,71.5,71.25,74.75,53.75,47.75,56.5,55.75,59.25,82.75,67.0,69.5,61.25,41.25,45.0,46.5,50.0,52.75,40.5,34.75,32.25,36.75,22.25,36.75,34.0,34.25,39.25,38.5,60.75,64.5,68.5,72.5,84.5,80.75,80.75,75.5,97.25,97.75,76.25,50.0,48.5,43.75,28.0,43.25,
8,0.25,6.25,27.25,23.25,23.5,37.5,43.75,58.75,64.0,64.75,55.0,45.75,43.25,52.25,52.75,53.5,75.25,49.0,63.25,62.5,53.5,43.5,43.5,43.75,40.25,45.75,34.25,29.5,31.5,19.5,38.75,38.0,29.5,35.25,35.5,48.75,59.5,66.0,64.75,74.0,76.25,76.25,60.0,100.0,88.75,65.25,53.25,35.0,39.0,27.0,37.25,
9,0.5,8.5,22.5,26.0,21.0,27.75,39.5,59.75,65.25,60.75,66.25,42.0,57.75,48.5,48.25,57.5,66.25,54.5,62.5,55.75,48.0,42.0,36.75,48.25,36.0,43.5,39.25,28.25,34.75,21.75,35.0,39.25,29.5,31.25,34.5,53.25,66.0,66.25,57.75,76.0,80.25,75.0,68.75,96.5,90.0,63.0,52.0,38.25,35.0,21.5,46.25,
