,2020-03-08,2020-03-15,2020-03-22,2020-03-29,2020-04-05,2020-04-12,2020-04-19,2020-04-26,2020-05-03,2020-05-10,2020-05-17,2020-05-24,2020-05-31,2020-06-07,2020-06-14,2020-06-21,2020-06-28,2020-07-05,2020-07-12,2020-07-19,2020-07-26,2020-08-02,2020-08-09,2020-08-16,2020-08-23,2020-08-30,2020-09-06,2020-09-13,2020-09-20,2020-09-27,2020-10-04,2020-10-11,2020-10-18,2020-10-25,2020-11-01,2020-11-08,2020-11-15,2020-11-22,2020-11-29,2020-12-06,2020-12-13,2020-12-20,2020-12-27,2021-01-03,2021-01-10,2021-01-17,2021-01-24,2021-01-31,2021-02-07,2021-02-14,2021-02-21,2021-02-28,2021-03-07,2021-03-14,2021-03-21,2021-03-28,2021-04-04,2021-04-11,2021-04-18,2021-04-25,2021-05-02,2021-05-09,2021-05-16,2021-05-23,2021-05-30
0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.25,0.0,0.0,0.0,37.75,23.5,56.75,0.0,10.75,0.0,0.0,12.5,50.0,29.0,26.75,0.0,0.0,27.0,36.0,,,,,,,,,,,,,,
1,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.5,10.25,31.75,0.0,34.25,0.0,0.0,12.5,50.0,13.25,12.0,0.0,23.0,36.75,11.0,,,,,,,,,,,,,,
2,23.0,19.25,0.0,0.0,53.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.75,0.0,24.75,36.0,0.0,22.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0,0.0,20.25,0.0,41.0,0.0,0.0,25.0,22.25,11.0,75.0,0.0,31.5,0.0,0.0,64.25,,,,,,,,,,,,,,
3,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,21.5,0.0,0.0,19.75,0.0,0.0,0.0,0.0,0.0,23.25,0.0,0.0,0.0,35.5,10.25,30.25,0.0,30.0,0.0,0.0,12.5,25.0,13.25,12.0,0.0,43.25,58.0,36.0,,,,,,,,,,,,,,
4,0.0,12.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,11.25,0.0,0.0,21.5,10.25,0.0,31.5,0.0,0.0,0.0,58.75,0.0,20.5,0.0,34.25,0.0,38.25,24.0,25.0,0.0,11.5,23.5,24.25,11.75,49.25,,,,,,,,,,,,,,
5,21.25,0.0,0.0,0.0,19.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.5,37.5,0.0,20.75,12.5,0.0,0.0,24.5,0.0,0.0,0.0,11.75,0.0,0.0,0.0,21.75,0.0,0.0,19.0,12.0,18.25,25.0,0.0,0.0,22.0,22.25,50.0,0.0,0.0,0.0,38.75,12.0,,,,,,,,,,,,,,
6,0.0,18.5,0.0,0.0,0.0,28.75,0.0,0.0,0.0,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.75,0.0,0.0,0.0,30.25,39.25,23.25,0.0,18.0,0.0,40.75,25.0,14.25,7.25,0.0,24.75,0.0,0.0,0.0,,,,,,,,,,,,,,
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.75,0.0,37.25,23.0,0.0,0.0,27.75,0.0,0.0,20.25,12.5,0.0,0.0,0.0,0.0,0.0,19.25,0.0,0.0,0.0,69.25,41.0,0.0,0.0,0.0,0.0,0.0,0.0,18.5,53.25,22.75,,,,,,,,,,,,,,
8,0.0,0.0,0.0,0.0,0.0,11.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.75,0.0,0.0,0.0,0.0,0.0,31.5,12.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,63.5,0.0,0.0,25.0,38.75,0.0,13.0,0.0,0.0,0.0,0.0,0.0,81.25,,,,,,,,,,,,,,
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,46.25,0.0,0.0,0.0,19.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.75,0.0,67.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.5,35.25,33.75,,,,,,,,,,,,,,
