,2020-03-08,2020-03-15,2020-03-22,2020-03-29,2020-04-05,2020-04-12,2020-04-19,2020-04-26,2020-05-03,2020-05-10,2020-05-17,2020-05-24,2020-05-31,2020-06-07,2020-06-14,2020-06-21,2020-06-28,2020-07-05,2020-07-12,2020-07-19,2020-07-26,2020-08-02,2020-08-09,2020-08-16,2020-08-23,2020-08-30,2020-09-06,2020-09-13,2020-09-20,2020-09-27,2020-10-04,2020-10-11,2020-10-18,2020-10-25,2020-11-01,2020-11-08,2020-11-15,2020-11-22,2020-11-29,2020-12-06,2020-12-13,2020-12-20,2020-12-27,2021-01-03,2021-01-10,2021-01-17,2021-01-24,2021-01-31,2021-02-07,2021-02-14,2021-02-21,2021-02-28,2021-03-07
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.75,19.0,0.0,42.0,0.0,0.0,74.75,0.0,0.0,0.0,48.5,45.75,0.0,24.5,47.5,,
1,0.0,0.0,0.0,54.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.5,0.0,0.0,0.0,0.0,0.0,61.0,0.0,13.75,47.75,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,23.0,0.0,48.75,0.0,0.0,0.0,12.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,,
2,0.0,0.0,0.0,10.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,12.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.75,11.5,0.0,0.0,0.0,44.75,48.0,63.0,0.0,38.0,24.75,37.5,0.0,61.5,34.5,0.0,,
3,0.0,0.0,0.0,33.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.5,0.0,0.0,0.0,0.0,0.0,37.25,0.0,13.75,44.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,23.75,20.0,0.0,0.0,12.0,25.0,0.0,25.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,22.5,,
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,37.5,19.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.75,19.5,42.0,91.25,38.75,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,25.0,48.25,,
5,0.0,0.0,19.0,50.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.75,45.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.75,0.0,67.0,13.25,0.0,0.0,23.25,69.25,25.0,39.0,0.0,14.5,0.0,37.75,50.0,22.75,0.0,0.0,,
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.25,20.25,11.75,0.0,0.0,75.0,0.0,0.0,0.0,69.25,58.75,0.0,0.0,34.5,,
7,0.0,0.0,0.0,21.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.75,0.0,0.0,0.0,0.0,0.0,22.75,0.0,12.25,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.25,0.0,50.0,0.0,0.0,0.0,35.75,73.25,0.0,0.0,0.0,0.0,0.0,0.0,49.75,0.0,0.0,0.0,,
8,0.0,0.0,0.0,28.25,0.0,0.0,0.0,40.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.75,0.0,0.0,0.0,0.0,0.0,30.25,0.0,0.0,31.0,0.0,8.5,0.0,0.0,22.0,75.5,48.75,0.0,24.5,0.0,0.0,0.0,22.5,50.0,0.0,25.0,23.5,,
9,0.0,0.0,0.0,17.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.5,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.25,13.0,0.0,0.0,0.0,45.5,61.75,0.0,0.0,88.75,0.0,0.0,0.0,11.75,23.0,0.0,0.0,
