,2020-03-01,2020-03-08,2020-03-15,2020-03-22,2020-03-29,2020-04-05,2020-04-12,2020-04-19,2020-04-26,2020-05-03,2020-05-10,2020-05-17,2020-05-24,2020-05-31,2020-06-07,2020-06-14,2020-06-21,2020-06-28,2020-07-05,2020-07-12,2020-07-19,2020-07-26,2020-08-02,2020-08-09,2020-08-16,2020-08-23,2020-08-30,2020-09-06,2020-09-13,2020-09-20,2020-09-27,2020-10-04,2020-10-11,2020-10-18,2020-10-25,2020-11-01,2020-11-08,2020-11-15,2020-11-22,2020-11-29,2020-12-06,2020-12-13,2020-12-20,2020-12-27,2021-01-03,2021-01-10,2021-01-17,2021-01-24,2021-01-31,2021-02-07,2021-02-14,2021-02-21,2021-02-28,2021-03-07,2021-03-14
0,0.0,7.25,10.0,8.5,20.0,23.0,53.25,57.0,70.25,76.25,48.5,64.75,79.0,76.25,57.0,31.75,32.5,44.75,38.75,37.5,49.75,48.25,61.5,53.5,31.5,43.75,23.75,20.0,13.0,14.0,17.5,29.5,21.75,13.25,13.25,17.5,11.75,14.5,9.5,14.0,9.75,27.25,12.75,33.0,46.25,45.5,57.5,54.0,73.0,64.5,47.0,,,,
1,0.0,3.25,14.0,9.75,19.0,45.5,72.0,54.75,68.0,54.75,62.25,91.75,78.0,57.75,63.25,35.25,34.75,39.0,32.5,47.25,42.5,36.75,65.0,61.75,63.0,27.0,35.75,27.25,22.0,13.75,28.25,8.5,15.5,1.25,9.25,21.75,18.0,19.0,7.75,6.75,20.0,24.25,19.25,27.0,37.25,46.0,41.25,58.0,74.75,62.5,66.0,,,,
2,0.0,13.5,16.25,10.0,18.5,26.5,57.75,59.75,55.25,85.5,55.25,76.25,80.25,86.75,71.5,36.25,39.25,53.5,45.25,49.0,62.0,80.25,68.0,60.25,42.25,46.5,34.5,28.25,14.25,14.25,30.25,34.75,24.0,18.25,17.75,11.25,21.75,9.75,9.25,9.25,11.5,21.75,33.25,29.25,42.5,81.75,57.5,61.25,82.0,69.5,57.5,,,,
3,0.0,10.0,22.5,6.5,20.0,24.5,68.0,71.0,64.5,86.25,62.5,70.75,99.5,77.0,65.25,33.75,45.75,41.5,25.25,52.0,50.75,62.5,64.75,71.5,45.0,41.0,44.75,26.5,5.5,9.75,23.5,30.25,22.25,16.5,19.25,14.75,13.5,13.25,4.75,15.5,3.5,27.0,29.0,26.5,57.5,55.5,57.0,57.5,62.25,75.0,58.0,,,,
4,0.0,9.75,16.0,8.0,18.75,25.25,55.5,50.0,67.75,65.75,68.0,84.5,78.5,70.5,58.5,28.0,30.75,32.25,38.5,45.75,45.75,57.75,59.5,53.5,40.0,41.0,29.5,15.25,16.5,18.75,21.25,19.25,15.75,13.5,8.0,14.5,12.75,11.25,2.75,4.75,15.25,14.0,16.75,28.75,34.25,65.5,63.75,58.5,72.0,49.75,58.25,,,,
5,0.0,7.25,22.5,9.5,19.5,18.75,53.75,46.5,62.75,66.75,51.75,85.25,77.25,76.75,69.75,29.0,41.0,34.75,42.75,52.0,45.0,57.0,70.5,51.5,46.25,48.25,32.5,15.75,12.25,18.75,27.75,39.0,20.75,13.5,17.5,16.0,8.0,8.75,5.0,11.5,6.25,30.25,19.0,25.25,50.25,55.75,70.0,63.5,80.25,69.25,50.75,,,,
6,0.0,11.0,20.5,12.5,17.0,36.5,44.5,57.25,82.25,63.25,71.5,86.5,87.5,65.25,60.5,37.5,27.0,44.25,36.0,50.5,43.25,61.25,57.25,58.75,50.0,40.25,30.5,18.5,19.75,11.75,28.0,23.5,26.0,14.5,13.0,14.75,10.25,12.0,10.0,11.75,13.0,24.0,23.0,26.0,47.25,69.5,61.5,59.75,71.25,50.0,53.0,,,,
7,0.0,4.75,6.25,16.75,23.0,41.25,71.75,60.5,82.75,51.0,49.25,68.0,69.5,54.75,51.5,36.5,30.5,32.25,30.25,50.25,36.75,38.0,67.0,49.75,62.75,31.75,30.5,25.75,11.75,14.5,11.25,6.25,23.0,8.5,6.0,17.75,7.5,18.0,7.75,10.75,27.25,19.25,17.5,40.25,37.0,46.0,48.75,55.5,79.5,62.25,57.75,,,,
8,0.0,9.75,19.0,18.75,16.25,29.25,58.25,55.25,76.25,70.75,63.75,84.25,81.25,58.25,69.5,39.0,30.75,45.5,40.75,47.75,51.0,58.25,69.5,64.25,46.5,27.75,26.75,18.25,20.25,22.75,29.25,19.25,22.75,15.5,11.25,18.75,16.25,13.75,13.75,15.25,14.25,14.75,23.75,23.5,44.25,58.75,63.5,52.75,80.0,59.75,64.25,,,,
9,,6.25,14.75,21.0,14.0,44.75,68.5,68.5,65.75,53.0,56.75,91.0,75.25,51.5,57.25,28.5,24.5,42.5,41.75,39.0,39.75,50.0,53.25,54.0,54.0,35.75,37.5,26.5,15.25,23.5,20.75,5.0,16.75,12.25,4.25,17.0,11.0,13.0,9.0,11.5,17.5,19.25,18.25,35.5,34.0,57.5,59.75,61.5,85.25,59.0,46.75,56.75,,,
