,2020-03-01,2020-03-08,2020-03-15,2020-03-22,2020-03-29,2020-04-05,2020-04-12,2020-04-19,2020-04-26,2020-05-03,2020-05-10,2020-05-17,2020-05-24,2020-05-31,2020-06-07,2020-06-14,2020-06-21,2020-06-28,2020-07-05,2020-07-12,2020-07-19,2020-07-26,2020-08-02,2020-08-09,2020-08-16,2020-08-23,2020-08-30,2020-09-06,2020-09-13,2020-09-20,2020-09-27,2020-10-04,2020-10-11,2020-10-18,2020-10-25,2020-11-01,2020-11-08,2020-11-15,2020-11-22,2020-11-29,2020-12-06,2020-12-13,2020-12-20,2020-12-27,2021-01-03,2021-01-10,2021-01-17,2021-01-24,2021-01-31,2021-02-07,2021-02-14,2021-02-21,2021-02-28,2021-03-07
0,0.0,8.5,0.0,0.0,4.0,13.25,45.0,33.25,21.25,3.25,10.5,32.25,5.75,37.75,2.25,14.5,19.25,15.25,44.0,26.75,63.5,90.25,90.5,2.5,33.5,16.25,21.75,29.5,10.5,4.75,7.75,4.75,15.25,8.75,3.5,13.25,6.75,0.0,0.0,6.25,12.5,0.0,7.75,16.0,37.25,42.75,66.5,64.5,51.25,25.0,25.25,,,
1,0.0,17.75,12.5,7.75,4.0,14.75,14.0,77.75,34.5,28.0,55.75,33.75,32.25,33.0,3.25,38.25,14.5,37.25,60.5,38.5,51.0,85.25,73.0,55.25,35.0,13.0,21.5,9.5,65.25,35.0,9.5,15.25,7.0,3.25,20.0,6.5,0.0,23.25,0.0,0.0,15.25,6.5,13.25,14.0,48.0,14.5,53.25,48.0,85.5,26.25,22.5,,,
2,0.0,3.75,0.0,0.0,3.0,16.75,53.75,32.75,37.5,3.25,13.0,40.75,4.0,39.0,4.0,18.75,8.75,17.0,28.25,26.0,56.75,80.0,89.75,8.75,31.5,17.25,22.5,35.5,17.5,8.0,8.25,3.25,15.5,10.75,5.25,6.25,9.0,0.0,0.0,0.0,7.0,0.0,9.5,32.0,23.0,42.5,40.0,62.5,40.25,33.75,17.75,,,
3,0.0,8.25,0.0,0.0,0.0,6.75,28.0,25.0,21.25,10.25,11.5,34.0,10.0,39.75,0.0,15.25,19.25,17.25,21.5,25.0,44.0,92.0,82.75,8.75,23.0,15.5,23.5,24.75,7.5,16.25,3.0,7.75,14.75,10.75,9.0,9.25,5.5,0.0,0.0,2.0,11.75,0.0,6.25,7.75,27.75,27.75,32.5,48.75,26.75,16.75,13.75,,,
4,0.0,8.75,21.75,8.75,3.75,7.75,0.0,38.75,10.5,22.25,46.25,18.75,9.75,11.0,9.25,32.75,10.0,24.0,26.5,47.75,67.0,70.75,63.75,71.0,47.0,9.75,29.75,10.0,38.75,19.5,17.25,16.75,3.25,10.5,14.75,3.75,0.0,14.5,7.0,0.0,15.0,14.25,0.0,22.5,62.25,22.0,54.25,45.75,69.5,18.75,17.25,,,
5,0.0,5.0,0.0,0.0,4.5,8.75,40.75,21.5,26.5,9.5,3.5,26.75,3.75,22.0,3.75,5.5,6.5,24.25,31.75,14.25,53.25,67.0,100.0,8.25,21.25,24.0,25.5,24.25,4.25,7.5,6.0,0.0,12.25,13.5,4.25,5.0,9.25,0.0,0.0,2.75,4.25,0.0,5.25,19.5,21.5,17.5,35.25,53.75,45.0,16.75,6.0,,,
6,0.0,9.5,9.5,0.0,0.0,10.75,11.0,33.75,43.75,25.0,28.0,17.75,12.25,23.75,2.25,20.25,2.5,18.75,7.25,9.5,82.75,79.5,81.75,56.0,46.5,5.25,24.25,7.5,2.5,34.5,0.0,0.0,14.75,10.25,10.25,16.25,5.5,7.5,2.75,2.75,13.75,2.75,0.0,31.25,28.75,28.0,30.5,46.5,35.0,29.5,19.0,,,
7,0.0,13.5,0.0,7.5,7.5,10.5,10.0,57.25,17.0,8.0,28.25,15.0,31.75,3.0,6.0,28.25,8.5,14.5,39.75,40.75,82.75,70.0,40.75,45.75,43.25,15.75,32.25,6.0,32.75,28.0,6.0,6.5,16.75,10.0,17.0,3.75,0.0,6.5,3.75,10.5,10.25,0.0,4.5,17.25,64.0,13.5,51.75,30.0,56.75,29.75,44.5,,,
8,0.0,0.0,10.0,7.0,11.0,2.5,17.25,40.0,18.25,9.25,19.5,17.0,19.75,11.5,5.0,41.25,2.0,20.5,32.0,34.0,77.0,91.25,56.75,36.0,24.5,24.5,21.75,12.75,25.0,18.25,9.25,9.25,11.5,18.0,20.25,7.5,2.5,10.0,0.0,6.0,17.75,0.0,6.25,3.25,22.0,31.5,23.75,34.5,32.5,30.25,30.0,,,
9,,12.0,12.5,0.0,3.25,0.0,15.25,44.25,21.25,13.0,31.25,28.25,30.0,15.75,4.0,35.75,8.25,19.0,26.75,38.75,51.5,78.0,57.25,46.0,35.75,22.5,27.25,10.5,40.75,19.75,19.75,4.25,9.0,11.25,14.0,9.75,0.0,4.75,0.0,4.75,2.75,2.75,2.5,31.5,30.75,19.75,54.25,74.5,39.75,47.25,22.75,11.25,,
