ISO3_CODE,BOL,BOL,BOL,BOL,BOL,BOL,BOL,BOL,BOL,PRY,PRY,PRY,PRY,PRY,PRY,PRY,PRY,PRY,PRY,PRY,PRY,PRY,PRY,PRY,PRY,PRY
ADM1_ISOCODE,BO-B,BO-C,BO-H,BO-L,BO-N,BO-O,BO-P,BO-S,BO-T,PY-01,PY-02,PY-03,PY-04,PY-05,PY-06,PY-07,PY-08,PY-09,PY-10,PY-11,PY-12,PY-14,PY-16,PY-19,PY-ASU,PY-15
2020-03-20,,,,,,,,,,,,,,,,,,,,,,,,,1,0
2020-03-23,,,,,,,,,,,,,,,,,,,,1,,,,,1,0
2020-03-24,,,,,,,,,,,,,,,,,,,,1,,,,,2,0
2020-04-05,,,,,,,,,,,,,,,,,,,,2,,,,,2,0
2020-04-09,,,,,,,,,,,,,,,,,,,,2,,,,,3,0
2020-04-13,,,,,,,,,,,,1,,,,,,,,2,,,,,3,0
2020-04-14,,,,,,,,,,,,1,,,,,,,,3,,,,,3,0
2020-04-21,,,,,,,,,,,,1,,,,,,,,3,,,,,4,0
2020-04-30,,,,,,,,,,,,1,,,,,,,1,3,,,,,4,0
2020-06-15,,,,,,,,,,,,1,,,,,,,1,4,,,,,4,0
2020-06-16,,,,,,,,,,1,,1,,,,,,,1,4,,,,,4,0
2020-06-27,,,,,,,,,,1,,1,,,,,,,1,6,,,,,4,0
2020-06-29,,,,,,,,,,1,,1,,,,,,,1,6,,,,,5,0
2020-06-30,,,,,,,,,,1,,1,,,,,,,1,7,,,,,5,0
2020-07-01,,,,,,,,,,2,,1,,,,,,,2,7,,,,,5,0
2020-07-04,,,,,,,,,,2,,1,,,,,,,2,7,,,,,6,0
2020-07-11,,,,,,,,,,2,,1,,,,,,,3,7,,,,,6,0
2020-07-12,,,,,,,,,,2,,1,,,,,,,4,7,,,,,6,0
2020-07-13,,,,,,,,,,2,,1,,1,,,,,6,7,,,,,6,0
2020-07-16,,,,,,,,,,2,,1,,1,,,,,6,8,,,,,7,0
2020-07-17,,,,,,,,,,2,,1,,1,,,,,7,8,,,,,7,0
2020-07-18,,,,,,,,,,2,,1,,1,,,,,8,8,,,,,7,0
2020-07-19,,,,,,,,,,2,,1,,1,,,,,9,9,,,,,7,0
2020-07-20,,,,,,,,,,2,,1,,1,,,,,11,9,,,,,7,0
2020-07-21,,,,,,,,,,3,,1,,1,,,,,11,10,,,,,7,0
2020-07-22,,,,,,,,,,3,,1,,1,,,,,12,10,,,,,7,0
2020-07-24,,,,,,,,,,3,,1,,1,,,,,13,11,,,,,7,0
2020-07-25,,,,,,,,,,3,,1,,1,,,,,14,12,,,,,7,0
2020-07-26,,,,,,,,,,3,,1,,1,,,,,14,12,,,,,8,0
2020-07-27,,,,,,,,,,3,,1,,2,,,,,15,12,,,,,8,0
2020-07-28,,,,,,,,,,3,,1,,2,,,,,16,12,,,,,9,0
2020-07-29,,,,,,,,,,3,,1,,2,,,,,17,12,,,,,9,0
2020-07-30,,,,,,,,,,3,,1,,2,,,,,17,13,,,,,9,0
2020-07-31,,,,,,,,,,3,,1,,2,,,,,19,13,,,,,9,0
2020-08-01,,,,,,,,,,3,,1,,2,,,,,21,13,,,,,9,0
