Recipient,Recipient ISO,Vaccine Name,Manufacturer,Source URL,Vaccine Developer,Donor,Donor ISO,Update Date,Doses
Kyrgyzstan,KGZ,Sputnik V,Gamaleya Research Institute,https://tass.com/world/1287905,Gamaleya Research Institute,Russia,RUS,2020-04-29,500000.0
Maldives,MDV,Covishield,Serum Institute of India,https://www.mea.gov.in/vaccine-supply.htm,Serum Institute of India,India,IND,2021-01-22,200000.0
Bhutan,BTN,Covishield,Serum Institute of India,https://www.mea.gov.in/vaccine-supply.htm,Serum Institute of India,India,IND,2021-01-22,150000.0
Mauritius,MUS,Covishield,Serum Institute of India,https://www.mea.gov.in/vaccine-supply.htm,Serum Institute of India,India,IND,2021-01-22,100000.0
Bangladesh,BGD,Covishield,Serum Institute of India,https://www.mea.gov.in/vaccine-supply.htm,Serum Institute of India,India,IND,2021-01-22,2000000.0
Myanmar,MMR,Covishield,Serum Institute of India,https://www.mea.gov.in/vaccine-supply.htm,Serum Institute of India,India,IND,2021-01-22,1500000.0
Seychelles,SYC,BBIBP-CorV,Sinopharm (Beijing),http://www.statehouse.gov.sc/news/5071/president-of-seychelles-takes-covid-19-vaccine-seychelles-launches-national-covid-19-immunisation-campaign,Sinopharm (Beijing),UAE,ARE,2021-01-26,50000.0
Afghanistan,AFG,Covishield,Serum Institute of India,https://www.mea.gov.in/vaccine-supply.htm,Serum Institute of India,India,IND,2021-01-26,500000.0
Bahrain,BHR,Covishield,Serum Institute of India,https://www.mea.gov.in/vaccine-supply.htm,Serum Institute of India,India,IND,2021-01-29,100000.0
Congo,COG,BBIBP-CorV,Sinopharm (Beijing),https://www.bloomberg.com/news/articles/2021-02-05/congo-republic-to-get-100-0000-doses-of-covid-vaccine-from-china,Sinopharm (Beijing),China,CHN,2021-02-05,100000.0
Myanmar,MMR,BBIBP-CorV,Sinopharm (Beijing),https://www.irrawaddy.com/news/burma/china-donates-500000-covid-19-vaccines-myanmar-junta.html,Sinopharm (Beijing),China,CHN,2021-02-09,500000.0
Bolivia,BOL,BBIBP-CorV,Sinopharm (Beijing),https://www.minsalud.gob.bo/5319-llegan-sinopharm-bolivia,Sinopharm (Beijing),China,CHN,2021-02-11,100000.0
Equatorial Guinea,GNQ,BBIBP-CorV,Sinopharm (Beijing),https://www.reuters.com/article/us-health-coronavirus-equatorial/china-donates-100000-covid-19-vaccine-doses-to-equatorial-guinea-idUSKBN2AB15Q,Sinopharm (Beijing),China,CHN,2021-02-11,100000.0
