,2020-03-01,2020-03-08,2020-03-15,2020-03-22,2020-03-29,2020-04-05,2020-04-12,2020-04-19,2020-04-26,2020-05-03,2020-05-10,2020-05-17,2020-05-24,2020-05-31,2020-06-07,2020-06-14,2020-06-21,2020-06-28,2020-07-05,2020-07-12,2020-07-19,2020-07-26,2020-08-02,2020-08-09,2020-08-16,2020-08-23,2020-08-30,2020-09-06,2020-09-13,2020-09-20,2020-09-27,2020-10-04,2020-10-11,2020-10-18,2020-10-25,2020-11-01,2020-11-08,2020-11-15,2020-11-22,2020-11-29,2020-12-06,2020-12-13,2020-12-20,2020-12-27,2021-01-03,2021-01-10,2021-01-17,2021-01-24,2021-01-31,2021-02-07,2021-02-14,2021-02-21,2021-02-28,2021-03-07,2021-03-14,2021-03-21,2021-03-28,2021-04-04,2021-04-11,2021-04-18,2021-04-25,2021-05-02,2021-05-09,2021-05-16,2021-05-23,2021-05-30
0,0.0,0.0,0.0,0.0,0.0,0.0,68.25,0.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.25,45.0,0.0,35.0,19.25,0.0,0.0,0.0,44.0,41.5,0.0,45.5,0.0,22.75,44.25,66.5,0.0,48.75,0.0,0.0,48.0,0.0,0.0,0.0,22.0,0.0,25.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
1,0.0,0.0,0.0,0.0,0.0,26.5,0.0,0.0,0.0,0.0,0.0,0.0,12.25,74.25,0.0,0.0,0.0,0.0,33.75,0.0,0.0,0.0,0.0,0.0,24.25,0.0,0.0,43.75,11.5,0.0,0.0,18.25,0.0,83.5,26.5,19.0,0.0,0.0,33.75,0.0,0.0,29.5,0.0,17.5,28.25,0.0,0.0,0.0,0.0,0.0,42.5,,,,,,,,,,,,,,,
2,0.0,0.0,0.0,0.0,0.0,0.0,28.25,0.0,64.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,36.0,28.25,32.25,16.0,11.0,0.0,0.0,0.0,24.5,57.5,0.0,45.25,0.0,11.75,83.5,26.5,0.0,23.25,0.0,0.0,31.0,0.0,17.0,0.0,0.0,0.0,41.5,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
3,0.0,0.0,0.0,0.0,0.0,0.0,67.75,0.0,90.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.75,0.0,0.0,48.75,24.25,0.0,0.0,55.25,0.0,0.0,0.0,40.0,0.0,0.0,65.0,0.0,0.0,44.25,44.5,0.0,23.75,0.0,0.0,50.0,0.0,25.0,0.0,47.75,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
4,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,34.0,0.0,0.0,0.0,0.0,39.5,0.0,0.0,0.0,0.0,0.0,0.0,13.25,23.5,0.0,0.0,31.0,0.0,0.0,0.0,53.0,0.0,0.0,25.0,0.0,12.5,34.25,44.0,0.0,13.25,24.75,0.0,24.0,50.0,0.0,0.0,22.5,0.0,15.25,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
5,0.0,0.0,0.0,0.0,0.0,0.0,19.25,0.0,18.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,67.5,44.25,62.75,53.0,16.25,0.0,0.0,0.0,76.25,20.0,0.0,61.75,0.0,41.25,23.0,23.0,0.0,0.0,0.0,0.0,70.25,0.0,46.25,0.0,22.75,0.0,25.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
6,0.0,0.0,0.0,0.0,0.0,24.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.75,0.0,0.0,0.0,0.0,0.0,0.0,15.0,28.25,0.0,11.5,30.75,0.0,0.0,18.75,76.75,12.25,23.0,28.25,0.0,12.25,39.75,15.0,20.0,35.75,0.0,0.0,40.75,24.25,0.0,25.0,58.5,0.0,17.25,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
7,0.0,0.0,0.0,0.0,0.0,16.25,0.0,0.0,0.0,0.0,0.0,0.0,42.5,82.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,19.75,0.0,0.0,64.75,0.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.75,65.0,0.0,0.0,0.0,0.0,0.0,42.25,,,,,,,,,,,,,,,
8,0.0,0.0,0.0,0.0,0.0,50.25,0.0,0.0,0.0,0.0,0.0,0.0,15.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.75,0.0,0.0,0.0,38.75,0.0,14.0,0.0,0.0,39.5,13.5,0.0,25.75,0.0,29.75,0.0,0.0,15.0,0.0,50.5,31.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.75,0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,38.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.5,0.0,0.0,69.25,0.0,89.75,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
