,2020-03-01,2020-03-08,2020-03-15,2020-03-22,2020-03-29,2020-04-05,2020-04-12,2020-04-19,2020-04-26,2020-05-03,2020-05-10,2020-05-17,2020-05-24,2020-05-31,2020-06-07,2020-06-14,2020-06-21,2020-06-28,2020-07-05,2020-07-12,2020-07-19,2020-07-26,2020-08-02,2020-08-09,2020-08-16,2020-08-23,2020-08-30,2020-09-06,2020-09-13,2020-09-20,2020-09-27,2020-10-04,2020-10-11,2020-10-18,2020-10-25,2020-11-01,2020-11-08,2020-11-15,2020-11-22,2020-11-29,2020-12-06,2020-12-13,2020-12-20,2020-12-27,2021-01-03,2021-01-10,2021-01-17,2021-01-24,2021-01-31,2021-02-07,2021-02-14,2021-02-21
0,0.0,26.0,0.0,0.0,0.0,0.0,12.0,37.0,0.0,0.0,0.0,6.25,0.0,7.5,28.25,0.0,32.25,0.0,0.0,0.0,0.0,0.0,0.0,31.5,50.75,73.0,11.5,21.0,5.5,29.0,60.25,39.5,0.0,0.0,8.5,0.0,0.0,6.0,0.0,0.0,36.75,13.25,15.5,0.0,52.0,0.0,0.0,58.25,0.0,0.0,12.75,
1,0.0,0.0,23.75,0.0,8.5,0.0,0.0,0.0,0.0,0.0,24.25,0.0,0.0,0.0,0.0,29.0,10.0,0.0,7.0,0.0,25.0,31.75,0.0,45.75,64.25,18.25,50.75,16.5,34.25,8.75,35.75,9.75,31.25,16.25,0.0,0.0,0.0,0.0,6.75,0.0,44.75,0.0,0.0,8.0,0.0,36.0,0.0,19.75,33.0,66.0,76.0,
2,0.0,14.25,0.0,0.0,46.25,0.0,10.5,16.0,0.0,0.0,0.0,18.5,0.0,16.25,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,67.5,16.75,6.5,17.0,17.0,40.0,26.0,0.0,0.0,10.75,7.5,0.0,0.0,0.0,0.0,44.5,8.0,22.25,0.0,70.0,0.0,0.0,59.25,0.0,0.0,25.25,
3,0.0,0.0,0.0,0.0,41.0,0.0,15.75,28.75,0.0,0.0,0.0,5.75,0.0,0.0,29.75,0.0,26.25,0.0,0.0,9.0,0.0,0.0,0.0,9.0,21.25,79.5,20.0,7.75,0.0,5.5,17.75,32.0,0.0,0.0,19.25,0.0,0.0,7.0,0.0,0.0,32.5,6.75,29.75,0.0,52.0,0.0,0.0,26.0,0.0,0.0,0.0,
4,0.0,0.0,15.0,0.0,26.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.5,0.0,7.25,0.0,13.75,0.0,0.0,15.75,72.0,15.5,75.75,16.75,33.75,38.0,37.75,0.0,22.75,10.5,0.0,0.0,0.0,0.0,21.0,0.0,90.75,0.0,0.0,21.0,0.0,0.0,0.0,25.75,25.0,45.75,49.5,
5,0.0,0.0,0.0,0.0,30.0,0.0,6.0,12.75,0.0,0.0,0.0,18.25,0.0,9.75,22.25,0.0,0.0,0.0,0.0,15.5,0.0,0.0,0.0,10.5,28.0,98.75,0.0,25.25,13.5,27.75,17.0,31.75,0.0,0.0,10.25,14.75,0.0,0.0,0.0,0.0,54.25,11.25,0.0,0.0,61.25,0.0,0.0,32.0,0.0,0.0,11.25,
6,0.0,7.75,15.0,0.0,28.0,0.0,0.0,9.25,0.0,0.0,0.0,5.25,0.0,0.0,4.75,7.75,13.0,0.0,11.75,0.0,22.0,12.75,0.0,15.25,22.75,56.5,16.75,28.25,33.25,33.75,11.75,11.5,27.0,7.5,0.0,0.0,0.0,10.75,0.0,0.0,45.0,5.25,6.5,22.0,19.25,22.0,0.0,25.25,13.25,29.75,39.5,
7,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,22.0,43.75,0.0,0.0,0.0,13.0,12.25,0.0,9.5,68.5,19.5,66.75,40.25,43.0,31.25,22.0,10.75,44.75,11.0,0.0,0.0,0.0,0.0,0.0,0.0,87.25,0.0,0.0,13.0,0.0,0.0,0.0,11.75,13.25,37.75,49.5,
8,0.0,0.0,16.5,14.25,68.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.5,15.25,11.75,0.0,0.0,26.0,0.0,0.0,25.0,31.0,35.75,18.0,14.25,45.25,23.25,13.25,34.5,59.5,0.0,14.75,0.0,0.0,23.0,0.0,12.0,0.0,47.5,0.0,0.0,17.0,35.25,0.0,0.0,0.0,30.75,30.75,29.75,
9,,25.75,14.5,0.0,37.75,0.0,10.5,0.0,0.0,0.0,13.5,10.0,0.0,9.5,19.5,10.75,10.75,0.0,11.5,0.0,13.25,0.0,0.0,27.75,26.0,49.75,30.25,20.0,9.25,50.5,51.5,10.25,0.0,0.0,0.0,0.0,0.0,9.5,10.75,0.0,72.75,11.0,12.75,0.0,34.0,12.5,0.0,11.0,11.5,24.25,24.5,11.0
10,,0.0,14.5,0.0,26.75,0.0,0.0,0.0,0.0,0.0,13.5,0.0,0.0,0.0,0.0,22.0,10.5,0.0,30.25,0.0,35.5,0.0,0.0,18.75,45.25,0.0,28.0,16.75,17.25,47.75,31.5,10.25,10.75,6.75,0.0,0.0,0.0,0.0,17.75,0.0,100.0,0.0,0.0,20.75,0.0,33.5,0.0,12.75,20.0,53.25,53.5,37.0
11,,15.5,15.25,0.0,39.5,0.0,10.25,18.75,0.0,0.0,0.0,7.0,0.0,0.0,16.25,0.0,22.75,0.0,0.0,8.25,0.0,0.0,0.0,20.5,20.5,48.75,6.75,15.75,15.75,11.5,27.75,10.0,0.0,12.25,5.0,14.75,0.0,20.5,11.5,0.0,31.75,0.0,27.0,13.25,54.5,0.0,0.0,42.25,13.0,13.25,25.0,25.0
12,,0.0,16.0,0.0,39.25,0.0,7.0,0.0,0.0,0.0,13.0,0.0,0.0,6.5,0.0,18.75,19.5,0.0,8.25,0.0,13.75,0.0,0.0,23.25,33.0,21.75,52.5,6.25,18.75,26.25,28.25,28.75,28.25,30.0,0.0,0.0,0.0,0.0,17.75,0.0,25.0,0.0,0.0,0.0,7.25,9.5,0.0,13.0,35.0,53.75,45.75,38.25
13,,0.0,11.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.75,0.0,0.0,0.0,0.0,0.0,14.25,0.0,9.5,0.0,0.0,0.0,0.0,15.0,38.75,12.0,58.5,18.25,16.5,49.5,5.0,0.0,28.75,8.75,0.0,0.0,0.0,0.0,17.5,0.0,58.5,0.0,0.0,16.75,0.0,17.0,0.0,9.75,26.5,44.75,29.25,33.75
14,,11.5,11.5,9.75,45.25,0.0,8.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.75,15.75,0.0,8.0,0.0,23.5,7.75,17.5,16.75,20.75,7.25,7.25,55.0,42.0,46.75,15.25,0.0,34.5,7.0,0.0,0.0,10.25,0.0,19.25,0.0,25.0,0.0,13.0,0.0,0.0,0.0,0.0,8.25,51.0,29.75,52.0,31.0
15,,37.75,0.0,0.0,89.75,0.0,38.0,8.0,0.0,0.0,0.0,17.75,0.0,9.5,43.5,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,15.5,74.0,0.0,23.5,27.0,19.0,56.75,17.0,0.0,0.0,19.75,29.75,0.0,26.25,0.0,0.0,40.75,9.75,34.75,0.0,40.5,0.0,0.0,51.75,0.0,0.0,17.25,0.0
